Id,Label,Degree,modularity_class,eigencentrality,Authority,Hub,pageranks
FTH1,,8,3,0.715521,0.227811,0.227805,0.032171
TGOLN2,,6,2,0.643236,0.210028,0.210039,0.023767
TFRC,,7,5,0.815402,0.2726,0.272612,0.027098
CST3,,6,3,0.574021,0.176585,0.176592,0.024186
ALDOA,,2,4,0.16284,0.048034,0.048037,0.010392
OCRL,,2,1,0.19986,0.061157,0.061159,0.010158
HSPA8,,8,0,0.651395,0.210397,0.210392,0.032364
ARF1,,9,1,0.545399,0.175233,0.17522,0.037903
VEGFA,,3,1,0.223435,0.063954,0.06396,0.014293
IGFBP7,,7,2,0.456839,0.140921,0.140914,0.02923
DNAJC3,,3,2,0.256239,0.0784,0.078404,0.013621
GOLM1,,8,2,0.446617,0.134664,0.134657,0.03423
TF,,4,5,0.498964,0.170888,0.170895,0.016534
CTSZ,,4,3,0.419093,0.132102,0.132108,0.016921
CTSD,,9,3,0.672518,0.211293,0.211285,0.036298
LTF,,10,3,0.713293,0.221934,0.221931,0.040944
CLU,,2,4,0.164505,0.047087,0.047089,0.010454
CYFIP1,,2,0,0.17925,0.052904,0.052905,0.010345
B2M,,8,3,0.505684,0.157969,0.15796,0.034651
QSOX1,,2,2,0.191487,0.057529,0.057531,0.010115
GGA3,,3,5,0.381399,0.130334,0.13034,0.013223
UBC,,11,5,1,0.337594,0.337585,0.042063
TIMP1,,2,4,0.124358,0.034016,0.034019,0.010523
TMSB4X,,8,4,0.258579,0.069939,0.069933,0.037437
UBA52,,9,5,0.837583,0.285685,0.285678,0.03538
GNB2L1,,5,4,0.267975,0.083115,0.083118,0.023948
GNB1,,2,4,0.132129,0.037814,0.037815,0.010812
CDH2,,3,2,0.236833,0.068863,0.068866,0.013924
RHOA,,10,1,0.501362,0.151277,0.151273,0.04404
NFKB1,,5,5,0.647803,0.218046,0.218053,0.019892
UBB,,10,5,0.861322,0.295074,0.295071,0.039963
VCL,,3,3,0.310217,0.094296,0.094299,0.013647
CD3D,,2,3,0.218608,0.073088,0.07309,0.010076
TAP1,,2,3,0.214737,0.071572,0.071575,0.01002
RAB11A,,2,0,0.152687,0.045367,0.045371,0.010442
HSP90AA1,,8,0,0.360119,0.105993,0.105989,0.036393
EGFR,,4,0,0.410516,0.129909,0.129914,0.017294
SERPINA1,,2,4,0.123926,0.033006,0.033009,0.01061
ADAM10,,2,2,0.210475,0.069328,0.06933,0.010031
IGF1,,2,4,0.095109,0.024692,0.024693,0.011046
AKT1,,2,0,0.148709,0.041504,0.041506,0.010606
ESR1,,2,0,0.171909,0.051186,0.051188,0.010292
PPBP,,3,3,0.240752,0.070853,0.070857,0.014081
RAB5A,,3,1,0.355071,0.116816,0.116824,0.013253
IRF1,,2,0,0.146805,0.042583,0.042585,0.010545
GAK,,2,0,0.194368,0.06221,0.062214,0.010015
CD44,,2,3,0.16908,0.049889,0.049891,0.010421
RPS27A,,2,4,0.181657,0.061013,0.061014,0.010467
PLD1,,2,1,0.174963,0.052672,0.052677,0.010318
TGFB1,,3,5,0.33653,0.111832,0.111838,0.013565
