Id,Label,modularity_class,Degree,eigencentrality,Authority,Hub,pageranks
ERBB2,,4,2,0.257051,0.083067,0.083071,0.010382
VEGFA,,0,11,0.563133,0.164508,0.164491,0.04986
UBB,,4,11,0.884258,0.308069,0.30807,0.047125
ARF1,,1,8,0.423203,0.134038,0.134027,0.036831
RAB5C,,1,2,0.153048,0.042732,0.042737,0.010854
IGFBP7,,2,8,0.708803,0.23514,0.235132,0.03322
DNAJC3,,2,4,0.467777,0.152146,0.152151,0.017467
TGOLN2,,2,5,0.630069,0.216652,0.216662,0.021065
JUN,,0,4,0.377175,0.115033,0.115041,0.017949
GOLM1,,2,9,0.688634,0.22591,0.225904,0.038392
TF,,4,4,0.58421,0.207536,0.207543,0.017163
CST3,,3,10,0.770934,0.249158,0.249156,0.04194
GGA3,,4,3,0.400562,0.138849,0.138855,0.013952
UBC,,4,11,1,0.34782,0.347808,0.045391
VAMP8,,5,2,0.22752,0.073326,0.073329,0.01058
PSAP,,5,10,0.386294,0.109087,0.109078,0.047641
TFRC,,1,4,0.431155,0.140322,0.140332,0.017918
B2M,,3,8,0.516061,0.161115,0.161106,0.035271
HSPA8,,1,8,0.494333,0.155357,0.155348,0.03629
SPTAN1,,1,2,0.212823,0.067356,0.067359,0.010367
CDH2,,2,3,0.343149,0.110692,0.110693,0.013944
RHOA,,6,9,0.548684,0.168664,0.168671,0.041295
DNAJC5,,1,2,0.165158,0.04648,0.046485,0.010796
TOM1,,5,2,0.246004,0.080311,0.080316,0.010446
UBA52,,4,9,0.816703,0.289651,0.289645,0.038067
CD3D,,4,2,0.245138,0.082472,0.082474,0.010276
SDC2,,3,2,0.235416,0.073447,0.073446,0.010352
KAT2B,,0,2,0.209023,0.070621,0.070622,0.010455
H2AFJ,,0,6,0.303262,0.09369,0.093684,0.02771
TAP1,,3,2,0.231801,0.079233,0.079237,0.010231
HIF1A,,0,2,0.275534,0.090051,0.090058,0.010249
C3,,5,2,0.19785,0.060505,0.060509,0.010468
EGFR,,6,2,0.190127,0.056957,0.056957,0.010644
ADAM10,,4,2,0.272514,0.093863,0.093864,0.010154
DDOST,,5,2,0.214183,0.070087,0.070091,0.010534
GNB1,,6,2,0.175642,0.048823,0.048824,0.010839
FGF23,,4,4,0.596808,0.210002,0.210007,0.017198
PKN1,,6,2,0.157144,0.046117,0.046117,0.010714
APP,,3,3,0.303402,0.09129,0.091294,0.014253
CKAP4,,5,2,0.195667,0.058883,0.058887,0.010565
GAK,,1,2,0.167534,0.050866,0.05087,0.010659
FN1,,0,2,0.225198,0.068624,0.068629,0.010367
CD44,,3,2,0.19326,0.057969,0.057969,0.010536
HSP90AA1,,1,2,0.194689,0.056221,0.056227,0.010598
KDR,,1,2,0.182579,0.052473,0.052479,0.010656
HIST1H2BB,,4,3,0.366352,0.128519,0.128525,0.013918
PF4,,0,2,0.180204,0.048087,0.048093,0.010793
ALB,,3,3,0.332933,0.101031,0.101036,0.014055
HIF3A,,0,2,0.243714,0.079828,0.079833,0.010337
PLD1,,6,2,0.178017,0.053209,0.05321,0.010702
EP300,,0,3,0.251528,0.072688,0.072696,0.014526
MEN1,,3,3,0.312281,0.099975,0.099978,0.014006
