Id,Label,Degree,modularity_class,eigencentrality,Authority,Hub,pageranks
CCT2,,3,3,0.266379,0.073614,0.073614,0.014425
GNB2L1,,5,0,0.356424,0.102315,0.102317,0.023063
ACTB,,9,1,0.425136,0.115471,0.115461,0.041151
FTH1,,8,3,0.795338,0.234996,0.23499,0.033679
TFRC,,6,4,0.824714,0.255753,0.255761,0.024649
RAB5C,,2,5,0.198384,0.054409,0.054411,0.010668
SPTAN1,,2,0,0.223807,0.064265,0.064267,0.010377
CYFIP1,,4,3,0.429146,0.120871,0.120874,0.017799
HSPA8,,9,2,0.74854,0.223012,0.223012,0.039017
CTSZ,,2,2,0.257184,0.076694,0.076695,0.010318
CTSD,,10,3,0.811041,0.241043,0.241032,0.04272
LTF,,8,3,0.800133,0.234863,0.234859,0.033272
B2M,,10,4,0.659714,0.191983,0.191971,0.045147
PPBP,,2,5,0.19953,0.054388,0.054389,0.010624
LYZ,,9,3,0.778333,0.227628,0.227629,0.038265
PSMD1,,4,4,0.588308,0.185952,0.185957,0.017158
UBC,,10,4,0.988139,0.30959,0.30959,0.040583
UBA52,,9,4,0.863948,0.272482,0.272481,0.037435
VAMP8,,2,4,0.229391,0.067705,0.067709,0.010646
UBB,,11,4,1,0.315461,0.315459,0.04602
PSAP,,10,5,0.364861,0.094224,0.094217,0.04807
GNB1,,3,0,0.223645,0.057908,0.057911,0.014808
RHOA,,9,0,0.544296,0.153861,0.153853,0.04019
DNAJC5,,2,2,0.192084,0.052428,0.05243,0.010775
NFKB1,,5,3,0.724088,0.226983,0.22699,0.020712
TOM1,,2,4,0.227333,0.066735,0.066739,0.010539
NR3C1,,2,1,0.167747,0.043216,0.04322,0.010684
HSP90AA1,,9,0,0.528992,0.146038,0.146029,0.04016
RAD23A,,3,4,0.374144,0.115278,0.115284,0.013876
CFL1,,2,1,0.169501,0.044509,0.044513,0.010688
JUN,,2,1,0.187124,0.050809,0.050813,0.010729
CDC5L,,2,2,0.199648,0.05594,0.055942,0.010575
RAD23B,,2,1,0.236955,0.071216,0.071221,0.010447
VCL,,4,3,0.434131,0.123162,0.123166,0.017856
CD3D,,2,4,0.272437,0.083861,0.083866,0.010397
MAPK1,,3,0,0.314456,0.087183,0.087185,0.014207
TAP1,,2,4,0.25055,0.076759,0.076763,0.010376
C3,,2,3,0.197107,0.053193,0.053193,0.010703
EGFR,,4,0,0.468509,0.137583,0.137588,0.017729
DNAJC3,,2,3,0.252677,0.07448,0.074478,0.0103
DDOST,,2,4,0.207504,0.060602,0.060606,0.010625
CST3,,2,4,0.24466,0.071563,0.071567,0.010472
AKT1,,2,0,0.185606,0.049561,0.049565,0.010593
APP,,2,4,0.17956,0.047298,0.047302,0.010929
AGT,,2,5,0.201614,0.055407,0.05541,0.010721
ESR1,,2,0,0.225282,0.06397,0.063973,0.010428
RAB5A,,3,4,0.453567,0.143135,0.14314,0.01364
IRF1,,2,4,0.203229,0.055861,0.055865,0.010635
CD44,,2,4,0.204983,0.057154,0.057158,0.010638
RPS27A,,2,0,0.222842,0.069044,0.069046,0.010478
