"","cluster","gene","avg_expression"
"1","g9","IGKC",146.155043036101
"2","g9","KLK3",103.392978998103
"3","g9","IGHA1",68.0642865277814
"4","g9","KLK2",62.7820591983402
"5","g9","ACTB",43.492972658894
"6","g9","UBC",42.5016321626311
"7","g9","ACPP",41.6056640223451
"8","g9","TMSB4X",39.4326205585385
"9","g9","B2M",38.8712328248209
"10","g9","IGHG1",38.7046459069118
"11","g9","EEF2",35.4065819772343
"12","g9","FTL",30.9037698210317
"13","g9","PABPC1",27.5228492486264
"14","g9","JCHAIN",23.467272493139
"15","g9","EEF1G",22.3025587791065
"16","g9","UBA52",19.6535984705395
"17","g9","ACTA2",19.4370101553724
"18","g9","IGFBP7",18.8486175765011
"19","g9","PPDPF",18.7662154394424
"20","g9","LTF",18.6652334033642
"21","g9","MYL9",17.9422862068303
"22","g9","XBP1",16.7414275720773
"23","g9","PSAP",16.525553012475
"24","g9","ITM2B",15.9704611466144
"25","g9","DDX5",15.9674045433041
"26","g9","SERF2",15.7911289828481
"27","g9","IGLC1",15.4367234983065
"28","g9","TAGLN",15.0294057494307
"29","g9","CD74",14.7117854418129
"30","g9","HSPA8",12.9438314244866
"31","g9","PFN1",12.9276503813211
"32","g9","SQSTM1",12.3838309083991
"33","g9","IFITM3",12.1308339590007
"34","g9","MSMB",12.0994943501522
"35","g9","IGFBP5",12.0935594456589
"36","g9","FSTL1",11.9506063562396
"37","g9","FLNA",11.7482874470337
"38","g9","NUPR1",11.5284935681881
"39","g9","CD63",11.5064127292079
"40","g9","FTH1",11.3597388100393
"41","g9","TPM2",11.072260490692
"42","g9","GOLM1",10.9217825085031
"43","g9","CALR",10.8827731659313
"44","g9","HSP90AB1",10.8343837534452
"45","g9","ACTG2",10.7333268439676
"46","g9","EIF4B",10.5667709535178
"47","g9","SOD2",10.5377165442172
"48","g9","TPM1",10.4640051454083
"49","g9","SPARC",10.3363683574632
"50","g9","DDX17",10.2871756327497
"51","g9","FOXA1",10.1324639896017
"52","g9","SERPINA3",10.0361464375842
"53","g9","GLO1",9.8754124002327
"54","g9","SNRNP70",9.87362440220866
"55","g9","HDLBP",9.85083917420114
"56","g9","OAZ1",9.84398967624187
"57","g9","HNRNPA2B1",9.73396065355391
"58","g9","KLK4",9.4495440898655
"59","g9","RACK1",9.42639532757381
"60","g9","CTSD",9.41811811791862
"61","g9","COL3A1",9.39445366984911
"62","g9","MT2A",9.35728678194543
"63","g9","CCNI",9.20368427522492
"64","g9","COL1A2",9.10427215321851
"65","g9","PTMS",9.01670941438714
"66","g9","CIRBP",8.95513107287717
"67","g9","TMBIM6",8.94997420915859
"68","g9","HLA-DRA",8.69409171114546
"69","g9","CHCHD2",8.58564559872318
"70","g9","MYH9",8.52451538481695
"71","g9","GNAS",8.52290311626694
"72","g9","AMD1",8.44258242905836
"73","g9","GABARAP",8.42781679883609
"74","g9","AZGP1",8.40894598802453
"75","g9","RHOA",8.28806920447898
"76","g9","VEGFA",8.2478752182349
"77","g9","TMED2",8.14643306055358
"78","g9","SPON2",8.12963322800057
"79","g9","PLA2G2A",8.05573795603899
"80","g9","RBM3",8.04256272835042
"81","g9","TIMP1",8.00545422541537
"82","g9","NOP53",7.95605014319127
"83","g9","CD81",7.93981858499203
"84","g9","BCAM",7.92792380180916
"85","g9","ODC1",7.90637948332289
"86","g9","COX6A1",7.86826819068471
"87","g9","CEBPD",7.86128000727222
"88","g9","HSP90AA1",7.85067550751686
"89","g9","MIF",7.82849226149594
"90","g9","BGN",7.74703398210863
"91","g9","REXO2",7.66039056269521
"92","g9","JUNB",7.64693031853242
"93","g9","PPIB",7.64338696311942
"94","g9","COL1A1",7.56261487539105
"95","g9","ARF1",7.55272982152724
"96","g9","RHOB",7.54900707025811
"97","g9","PTGDS",7.51966246570241
"98","g9","EIF4G2",7.4290774152137
"99","g9","CST3",7.33892650343358
"100","g9","HNRNPA3",7.3374786271968
"101","g3","IGKC",134.040646526163
"102","g3","KLK3",122.946355996829
"103","g3","KLK2",82.1363868018609
"104","g3","IGHA1",66.6475785023182
"105","g3","ACPP",66.6143788513251
"106","g3","IGHG1",47.8987058833205
"107","g3","UBC",47.045369677841
"108","g3","EEF2",35.4363168458622
"109","g3","ACTB",33.6160168711873
"110","g3","TMSB4X",31.9286249226141
"111","g3","B2M",30.2463394854964
"112","g3","IGLC1",22.9760044212854
"113","g3","PABPC1",22.8552392586974
"114","g3","EEF1G",21.6757303924707
"115","g3","JCHAIN",21.6312552259494
"116","g3","FTL",21.1481946211473
"117","g3","GLO1",20.4104704503301
"118","g3","XBP1",18.3408371393481
"119","g3","PPDPF",17.3238526659674
"120","g3","UBA52",17.1027108949017
"121","g3","SERF2",17.0400773877874
"122","g3","DDX5",16.618487802063
"123","g3","FSTL1",15.3542937480501
"124","g3","HSPA8",14.8326752493304
"125","g3","MT2A",14.7618587134858
"126","g3","PSAP",14.4119866572854
"127","g3","CALR",13.6816785206059
"128","g3","KLK4",13.4223134086093
"129","g3","PLPP1",13.2639272294923
"130","g3","LTF",12.9327256684339
"131","g3","PFN1",12.9018657664901
"132","g3","GOLM1",12.5279998300158
"133","g3","AMD1",12.4596310035004
"134","g3","HSP90AB1",12.3507319849359
"135","g3","STEAP1",11.7752270521189
"136","g3","FTH1",11.539885018439
"137","g3","IGFBP7",11.4768199507606
"138","g3","ITM2B",11.4631776189351
"139","g3","TSPAN7",11.3210321402127
"140","g3","FOS",11.3163042177567
"141","g3","FOXA1",11.3071581140775
"142","g3","ACTA2",11.1798275933003
"143","g3","MT1G",11.1444871805136
"144","g3","MYL9",11.052559731267
"145","g3","SLC45A3",10.9607659753489
"146","g3","STEAP2",10.9096541811471
