"Cluster Id","Average Distance (Height)","Bootstrapping Confidence Level","Total Number of Patients","Number in Group 1","Number in Group 2","Group 1 Weight Percentage","Group 2 Weight Percentage","p-value","Group 1 and Group 2 Clustering Coefficient","Group 1 Clustering Coefficient","Group 2 Clustering Coefficient","Group 1 minus Group 2 Clustering Coefficient","Group 2 minus Group 1 Clustering Coefficient","Group 1 Patients","Group 2 Patients",
"  C1","1.000000","N/A"," 25"," 25","  0"," 100.0000%","   0.0000%","1.000000","0.159435","0.085493","0.000000","0.085493","0.000000","g0, g1, g10, g11, g12, g13, g14, g15, g16, g17, g18, g19, g2, g20, g21, g22, g23, g24, g3, g4, g5, g6, g7, g8, g9","<none>",
" C2","0.866122","N/A","15","15"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.096620","0.000000","0.096620","0.000000","g0, g1, g10, g14, g15, g16, g19, g2, g20, g21, g22, g24, g4, g6, g9","<none>",
" C3","0.650200","N/A"," 9"," 9"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.102900","0.000000","0.102900","0.000000","g0, g1, g15, g2, g20, g21, g24, g6, g9","<none>",
" C4","0.648235","N/A"," 8"," 8"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.105937","0.000000","0.105937","0.000000","g0, g1, g15, g2, g20, g24, g6, g9","<none>",
" C5","0.563412","N/A"," 6"," 6"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.109091","0.000000","0.109091","0.000000","g0, g15, g2, g20, g24, g9","<none>",
" C6","0.532859","N/A"," 4"," 4"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.091433","0.000000","0.091433","0.000000","g15, g2, g20, g24","<none>",
" C7","0.446500","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.072007","0.000000","0.072007","0.000000","g2, g20, g24","<none>",
"C8","0.287443","N/A","2","2","0"," 100.0000%","   0.0000%","1.000000","0.159435","0.051618","0.000000","0.051618","0.000000","g2, g20","<none>",
"C9","0.421453","N/A","2","2","0"," 100.0000%","   0.0000%","1.000000","0.159435","0.059087","0.000000","0.059087","0.000000","g0, g9","<none>",
"C10","0.582698","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.080512","0.000000","0.080512","0.000000","g1, g6","<none>",
"C11","0.770726","N/A"," 6"," 6"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.108413","0.000000","0.108413","0.000000","g10, g14, g16, g19, g22, g4","<none>",
"C12","0.698203","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.066198","0.000000","0.066198","0.000000","g10, g14, g22","<none>",
"C13","0.563163","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.055263","0.000000","0.055263","0.000000","g10, g14","<none>",
"C14","0.687004","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.069080","0.000000","0.069080","0.000000","g16, g19, g4","<none>",
"C15","0.606345","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.062588","0.000000","0.062588","0.000000","g16, g19","<none>",
"C16","0.918638","N/A","10","10"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.090365","0.000000","0.090365","0.000000","g11, g12, g13, g17, g18, g23, g3, g5, g7, g8","<none>",
"C17","0.700148","N/A"," 7"," 7"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.060038","0.000000","0.060038","0.000000","g11, g12, g13, g23, g3, g7, g8","<none>",
"C18","0.542927","N/A"," 4"," 4"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.052466","0.000000","0.052466","0.000000","g11, g13, g3, g7","<none>",
"C19","0.528368","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.079323","0.000000","0.079323","0.000000","g11, g13, g3","<none>",
"C20","0.390445","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.030294","0.000000","0.030294","0.000000","g11, g3","<none>",
"C21","0.581271","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.064654","0.000000","0.064654","0.000000","g12, g23, g8","<none>",
"C22","0.558333","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.064654","0.000000","0.064654","0.000000","g23, g8","<none>",
"C23","0.580197","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.116785","0.000000","0.116785","0.000000","g17, g18, g5","<none>",
"C24","0.416434","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.159435","0.074274","0.000000","0.074274","0.000000","g17, g5","<none>",
