#gene	origin	count
ERBB2	imputed	6.0
ARF1	group1	10.0
IGFBP7	group1	9.0
GGA3	imputed	6.0
VAMP8	imputed	10.0
HIST1H2BB	imputed	7.0
TFRC	imputed	10.0
SPTAN1	imputed	10.0
CDH2	imputed	10.0
DNAJC5	imputed	10.0
TOM1	imputed	10.0
UBB	group1	10.0
B2M	group1	10.0
CD3D	imputed	9.0
SDC2	imputed	10.0
GNB1	imputed	10.0
KAT2B	imputed	10.0
TAP1	imputed	10.0
HIF1A	imputed	6.0
C3	imputed	10.0
EGFR	imputed	10.0
GOLM1	group1	10.0
DDOST	imputed	10.0
ADAM10	imputed	9.0
HSPA8	group1	10.0
PSAP	group1	10.0
FGF23	imputed	4.0
PKN1	imputed	7.0
CST3	group1	10.0
JUN	imputed	10.0
RHOA	group1	10.0
APP	imputed	10.0
CKAP4	imputed	10.0
GAK	imputed	6.0
FN1	imputed	8.0
CD44	imputed	10.0
HSP90AA1	imputed	10.0
KDR	imputed	3.0
TF	imputed	10.0
UBC	group1	10.0
H2AFJ	group1	7.0
PF4	imputed	6.0
ALB	imputed	6.0
VEGFA	group1	10.0
TGOLN2	imputed	10.0
UBA52	group1	10.0
DNAJC3	imputed	10.0
HIF3A	imputed	6.0
PLD1	imputed	6.0
RAB5C	imputed	10.0
EP300	imputed	10.0
MEN1	imputed	7.0
