#source	target	weight (Interactome score)
CCT2	ACTB	962
CTSZ	CTSD	965
CTSZ	HSPA8	912
PSMD1	UBC	989
PSMD1	UBA52	984
EGF	FN1	988
EGF	HSPA8	927
CALR	B2M	993
CALR	P4HB	999
TFRC	UBC	928
TFRC	B2M	988
TFRC	HSPA8	934
CDH2	P4HB	911
CDH2	RHOA	958
NFKB1	LYZ	916
NFKB1	CTSD	908
NFKB1	UBB	916
NFKB1	UBA52	932
NR3C1	HSP90AA1	983
NR3C1	ACTB	938
ACTB	RAD23A	910
ACTB	CFL1	999
ACTB	JUN	956
ACTB	CDC5L	981
ACTB	RAD23B	917
VCL	CTSD	913
VCL	RHOA	983
VCL	ACTB	945
UBB	UBA52	996
UBB	HSPA8	950
UBB	UBC	998
UBB	RAD23B	994
CDC5L	HSPA8	998
CD3D	UBB	902
CD3D	B2M	929
SDC2	CST3	904
SDC2	RHOA	952
MAPK1	HSP90AA1	979
MAPK1	LYZ	915
MAPK1	RHOA	984
TAP1	B2M	969
TAP1	UBA52	914
OS9	UBC	907
OS9	P4HB	981
OS9	UBA52	900
SRC	UBA52	909
SRC	UBC	951
SRC	RHOA	980
HIF1A	UBC	948
HIF1A	VEGFA	996
C3	FN1	966
C3	LYZ	936
EGFR	HSPA8	959
EGFR	RHOA	968
HSPA8	DNAJC3	978
ERLEC1	UBB	905
ERLEC1	P4HB	953
RAC1	ACTB	950
FGF23	UBA52	900
FGF23	CST3	955
FGF23	UBB	900
FGF23	UBC	900
CST3	B2M	973
CST3	DNAJC3	902
JUN	VEGFA	983
JUN	B2M	925
RHOA	AKT1	987
RHOA	CFL1	988
RHOA	UBC	953
RHOA	VEGFA	977
LYZ	APP	915
LYZ	B2M	946
LYZ	CST3	940
LYZ	PSMD1	900
LYZ	DNAJC3	900
LYZ	CCT2	907
LYZ	MMP9	929
APP	P4HB	932
CTSD	LYZ	917
CTSD	ESR1	959
CTSD	RAB5A	934
CTSD	CST3	972
CTSD	MMP9	944
FN1	SRC	994
FN1	VEGFA	988
FN1	RAC1	948
FN1	CST3	934
IRF1	B2M	944
IRF1	HSP90AA1	938
CD44	RHOA	971
CD44	B2M	946
HSP90AA1	VEGFA	974
HSP90AA1	AKT1	998
HSP90AA1	SRC	981
HSP90AA1	GNB2L1	974
HSP90AA1	HSPA8	999
HSP90AA1	ESR1	979
TP53	UBC	965
TP53	HSP90AA1	990
KDR	VEGFA	999
KDR	HSP90AA1	980
RAB5A	UBC	914
RAB5A	UBB	906
MMP9	VEGFA	989
UBC	RAD23A	998
ALB	VEGFA	986
ALB	B2M	955
ALB	CST3	978
ALB	FN1	990
ALB	P4HB	955
UBA52	RAD23A	998
UBA52	UBC	996
UBA52	GNB2L1	998
HIF3A	VEGFA	929
HIF3A	UBA52	904
P4HB	CST3	902
TGFB1	FN1	985
TGFB1	VEGFA	993
TGFB1	UBB	915
