#gene	origin	count
CCT2	imputed	1.0
FTH1	group1	1.0
CTSZ	imputed	1.0
CFL1	imputed	1.0
LTF	group1	1.0
PSMD1	imputed	1.0
VAMP8	imputed	1.0
TFRC	imputed	1.0
GNB2L1	group1	1.0
SPTAN1	imputed	1.0
DNAJC5	imputed	1.0
NFKB1	imputed	1.0
TOM1	imputed	1.0
NR3C1	imputed	1.0
ACTB	group1	1.0
VCL	imputed	1.0
UBB	group1	1.0
B2M	group1	1.0
CDC5L	imputed	1.0
RAD23B	imputed	1.0
CD3D	imputed	1.0
GNB1	imputed	1.0
MAPK1	imputed	1.0
TAP1	imputed	1.0
C3	imputed	1.0
EGFR	imputed	1.0
DDOST	imputed	1.0
CYFIP1	imputed	1.0
RAD23A	imputed	1.0
HSPA8	group1	1.0
PSAP	group1	1.0
CST3	imputed	1.0
JUN	imputed	1.0
RHOA	group1	1.0
LYZ	group1	1.0
APP	imputed	1.0
CTSD	group1	1.0
IRF1	imputed	1.0
AGT	imputed	1.0
CD44	imputed	1.0
HSP90AA1	group1	1.0
RAB5A	imputed	1.0
UBC	group1	1.0
PPBP	imputed	1.0
UBA52	group1	1.0
DNAJC3	imputed	1.0
RPS27A	imputed	1.0
RAB5C	imputed	1.0
ESR1	imputed	1.0
AKT1	imputed	1.0
