#source	target	weight (Interactome score)
CCT2	GNB2L1	972
CCT2	ACTB	962
FTH1	TFRC	978
FTH1	RAB5C	912
FTH1	SPTAN1	900
FTH1	CYFIP1	902
FTH1	HSPA8	925
CTSZ	CTSD	965
CTSZ	HSPA8	912
LTF	CYFIP1	900
LTF	B2M	925
LTF	PPBP	916
LTF	CTSD	910
LTF	FTH1	928
LTF	LYZ	973
PSMD1	UBC	989
PSMD1	UBA52	984
VAMP8	UBB	907
VAMP8	PSAP	900
TFRC	UBC	928
TFRC	B2M	988
TFRC	UBA52	900
TFRC	HSPA8	934
GNB2L1	GNB1	958
SPTAN1	RHOA	914
DNAJC5	PSAP	905
DNAJC5	HSPA8	987
NFKB1	CTSD	908
NFKB1	UBC	925
NFKB1	UBB	916
NFKB1	LTF	904
NFKB1	UBA52	932
TOM1	UBC	920
NR3C1	HSP90AA1	983
NR3C1	ACTB	938
ACTB	CYFIP1	915
ACTB	RAD23A	910
ACTB	CFL1	999
ACTB	JUN	956
ACTB	CDC5L	981
ACTB	RAD23B	917
VCL	CTSD	913
VCL	LTF	901
VCL	RHOA	983
VCL	ACTB	945
UBB	UBA52	996
UBB	HSPA8	950
UBB	UBC	998
UBB	TFRC	917
UBB	PSMD1	988
UBB	RAD23B	994
CDC5L	HSPA8	998
CD3D	UBB	902
CD3D	B2M	929
MAPK1	HSP90AA1	979
MAPK1	LYZ	915
MAPK1	RHOA	984
TAP1	B2M	969
TAP1	UBA52	914
C3	PSAP	905
C3	LYZ	936
EGFR	HSPA8	959
EGFR	UBC	961
EGFR	RHOA	968
EGFR	HSP90AA1	989
HSPA8	DNAJC3	978
PSAP	DDOST	942
PSAP	GNB1	907
PSAP	TOM1	903
PSAP	RAB5C	904
CST3	B2M	973
JUN	B2M	925
RHOA	AKT1	987
RHOA	GNB1	948
RHOA	CFL1	988
RHOA	UBC	953
LYZ	B2M	946
LYZ	FTH1	903
LYZ	PSMD1	900
LYZ	DNAJC3	900
LYZ	CCT2	907
APP	B2M	926
APP	PSAP	910
CTSD	LYZ	917
CTSD	AGT	938
CTSD	ESR1	959
CTSD	FTH1	930
CTSD	RAB5A	934
CTSD	CST3	972
IRF1	B2M	944
IRF1	HSP90AA1	938
AGT	PSAP	901
CD44	RHOA	971
CD44	B2M	946
HSP90AA1	AKT1	998
HSP90AA1	GNB2L1	974
HSP90AA1	HSPA8	999
HSP90AA1	CYFIP1	907
HSP90AA1	ESR1	979
RAB5A	UBC	914
RAB5A	UBB	906
UBC	RAD23A	998
PPBP	PSAP	900
UBA52	RAD23A	998
UBA52	UBC	996
UBA52	DDOST	902
UBA52	GNB2L1	998
RPS27A	UBB	997
RPS27A	GNB2L1	997
