Id,Label,Degree,modularity_class,eigencentrality,pageranks,Weighted Degree,Authority,Hub
ARF1,,9,2,0.475308,0.0411,9,0.171971,0.171944
RAB5C,,2,1,0.158011,0.010674,2,0.052321,0.052331
GGA3,,3,0,0.426267,0.01384,3,0.173107,0.173118
UBC,,11,0,1,0.045816,11,0.40684,0.406819
VAMP8,,2,1,0.217809,0.010475,2,0.083493,0.083495
UBB,,10,0,0.833183,0.043355,10,0.336791,0.336797
PSAP,,8,1,0.314254,0.038194,8,0.104804,0.10479
TFRC,,4,2,0.470757,0.017839,4,0.175233,0.175253
B2M,,8,6,0.44579,0.036113,8,0.150903,0.150889
HSPA8,,9,2,0.561959,0.040697,9,0.197182,0.197163
SPTAN1,,2,2,0.191092,0.010333,2,0.065428,0.065436
CST3,,8,6,0.506391,0.035006,8,0.174112,0.174107
CDH2,,2,3,0.182352,0.010556,2,0.060976,0.06098
GOLM1,,7,6,0.407427,0.031581,7,0.141685,0.141674
RHOA,,10,3,0.520044,0.04693,10,0.180835,0.180828
DNAJC5,,2,1,0.174402,0.010634,2,0.05709,0.057098
TOM1,,2,1,0.246557,0.01033,2,0.09673,0.096739
NR3C1,,2,4,0.142817,0.010829,2,0.042673,0.042679
HSP90AA1,,8,5,0.365918,0.038177,8,0.119453,0.119448
ACTB,,8,4,0.327466,0.038009,8,0.106272,0.106255
RAD23A,,3,0,0.393711,0.013943,3,0.159923,0.159937
CFL1,,2,4,0.170424,0.010762,2,0.054279,0.054285
CDC5L,,2,2,0.17697,0.010615,2,0.057367,0.057376
RAD23B,,2,4,0.220377,0.010456,2,0.083769,0.083772
JUN,,3,4,0.22692,0.014586,3,0.069944,0.069956
UBA52,,9,0,0.799862,0.038434,9,0.332778,0.332764
CD3D,,2,6,0.240336,0.010253,2,0.092209,0.092211
SDC2,,2,3,0.200936,0.01044,2,0.067109,0.067112
KAT2B,,2,4,0.223523,0.01039,2,0.085007,0.08501
H2AFJ,,8,4,0.346412,0.037393,8,0.112817,0.112801
TAP1,,2,6,0.232483,0.010198,2,0.091445,0.091452
RAB11A,,2,2,0.167519,0.010671,2,0.055093,0.055101
EGFR,,2,2,0.211518,0.010565,2,0.071467,0.071474
TGOLN2,,4,0,0.498281,0.017622,4,0.19913,0.199148
DNAJC3,,3,6,0.28735,0.01413,3,0.096983,0.096992
CDK1,,2,4,0.145963,0.010763,2,0.043911,0.043917
ADAM10,,2,6,0.232306,0.010251,2,0.090467,0.090468
DDOST,,2,1,0.209956,0.01042,2,0.082729,0.082736
GNB1,,2,3,0.167855,0.010781,2,0.054002,0.054007
RAC1,,2,4,0.160579,0.010655,2,0.052598,0.052609
FGF23,,4,0,0.576663,0.017308,4,0.236434,0.236443
PKN1,,2,4,0.17357,0.010696,2,0.055517,0.055522
AKT1,,2,3,0.177364,0.010778,2,0.056774,0.056777
APP,,3,6,0.251718,0.014349,3,0.08126,0.081268
CKAP4,,2,1,0.145237,0.010626,2,0.046599,0.046605
RUVBL1,,2,4,0.139023,0.010746,2,0.041416,0.041424
IRF1,,2,5,0.162775,0.010626,2,0.051113,0.051118
GAK,,2,2,0.201673,0.010458,2,0.069786,0.069798
CD44,,2,3,0.190382,0.010559,2,0.062718,0.062723
GNB2L1,,2,5,0.219464,0.010418,2,0.085501,0.085506
TP53,,2,5,0.256066,0.010328,2,0.099502,0.099509
HIST1H2BB,,3,0,0.396857,0.013877,3,0.161161,0.161175
PLD1,,2,3,0.195126,0.010604,2,0.066698,0.066707
EP300,,2,4,0.180117,0.010549,2,0.058604,0.058613
MEN1,,3,6,0.249402,0.014262,3,0.081032,0.08104
