Id,Label,modularity_class,Degree,eigencentrality,pageranks,Authority,Hub
ERBB2,,3,3,0.437747,0.013753,0.133474,0.133474
CTNNB1,,0,11,0.851065,0.047317,0.257047,0.257031
VEGFA,,1,11,1,0.04595,0.302827,0.302845
UBB,,3,9,0.752485,0.038195,0.226202,0.226199
CTSZ,,2,2,0.194888,0.010451,0.055497,0.055496
HSPA8,,2,9,0.531017,0.041022,0.152111,0.152113
MAP2K1,,5,2,0.240679,0.010213,0.07254,0.072544
FN1,,5,9,0.669267,0.038837,0.201035,0.20102
EGF,,2,2,0.207407,0.010479,0.059961,0.059964
HRAS,,5,3,0.380359,0.01374,0.114971,0.114971
UBC,,3,11,0.908899,0.046022,0.276176,0.276178
TFRC,,4,3,0.341215,0.014134,0.099406,0.099407
B2M,,4,9,0.543146,0.039886,0.157151,0.157146
CDH2,,0,4,0.474607,0.017554,0.142556,0.142567
CST3,,4,6,0.498568,0.025998,0.144861,0.14486
RHOA,,0,9,0.784355,0.03825,0.236681,0.236666
ITGB1,,5,2,0.231701,0.010177,0.069592,0.069596
ACTN2,,5,7,0.70218,0.029405,0.208838,0.208836
VCL,,5,7,0.591504,0.029953,0.174724,0.174727
ACTN1,,5,3,0.327943,0.013937,0.095415,0.095416
PXN,,5,4,0.468065,0.017567,0.140107,0.140117
UBA52,,3,10,0.822951,0.043084,0.249879,0.249881
SNCA,,3,3,0.388199,0.013891,0.115589,0.11559
CD3D,,4,2,0.222287,0.010313,0.065091,0.065093
MAPK1,,3,2,0.230904,0.010443,0.066408,0.066413
HSP90AA1,,3,10,0.714801,0.043714,0.212755,0.21274
APP,,5,11,0.620134,0.049056,0.178372,0.178368
TAP1,,3,2,0.233497,0.010367,0.069112,0.069113
CLU,,1,2,0.27573,0.01028,0.08171,0.081707
SRC,,3,4,0.52623,0.017536,0.159578,0.159584
HIF1A,,1,2,0.319168,0.010047,0.098318,0.098314
EGFR,,2,2,0.225526,0.010424,0.066013,0.066016
ADAM10,,3,2,0.247209,0.01039,0.072716,0.072716
MAPK8,,0,2,0.240322,0.010339,0.070471,0.070475
DNAJC3,,4,2,0.180031,0.010497,0.050426,0.050425
FGF23,,3,4,0.503949,0.017447,0.152329,0.152329
FYN,,4,2,0.238591,0.01036,0.070325,0.07033
AR,,0,2,0.237507,0.010468,0.069471,0.069474
AKT1,,0,3,0.397243,0.013919,0.119949,0.11996
TGOLN2,,2,2,0.202728,0.010602,0.056115,0.056115
PSEN1,,0,2,0.252303,0.010384,0.073929,0.073933
IRF1,,3,2,0.217192,0.010419,0.062805,0.06281
CD44,,0,2,0.22661,0.010316,0.066867,0.066872
GNB2L1,,3,2,0.260589,0.010316,0.078551,0.078555
TP53,,3,2,0.274342,0.01021,0.083016,0.08302
GSK3B,,3,2,0.281988,0.010256,0.086072,0.086075
KDR,,1,2,0.28911,0.010206,0.087546,0.087545
ALB,,4,5,0.579784,0.021176,0.172296,0.172297
APOE,,5,2,0.222203,0.010394,0.064418,0.064423
HIF3A,,1,2,0.305416,0.010153,0.093853,0.093849
AXIN1,,3,2,0.295741,0.010151,0.090537,0.09054
