Id,Label,modularity_class,Degree,eigencentrality,pageranks,Authority,Hub
BAG1,,0,2,0.208848,0.010592,0.0672,0.067205
HSPA8,,0,10,0.51606,0.046414,0.169775,0.169765
IGFBP7,,1,7,0.445307,0.032107,0.148142,0.14814
IGFBP3,,1,2,0.15717,0.010821,0.048842,0.048846
DNAJC3,,1,3,0.287089,0.014468,0.092014,0.092018
GPC3,,1,2,0.184445,0.010662,0.058476,0.058479
JUN,,1,9,0.593345,0.039806,0.198295,0.198283
TF,,2,3,0.411026,0.014019,0.161749,0.161762
CST3,,1,8,0.565552,0.035156,0.186051,0.186042
EGF,,0,2,0.172044,0.010868,0.05279,0.052796
FN1,,1,8,0.377852,0.037954,0.119377,0.119363
COPS5,,2,3,0.437795,0.013879,0.170904,0.170919
UBA52,,2,11,0.866236,0.047326,0.345283,0.345261
UBC,,2,12,1,0.050446,0.392515,0.392492
TFRC,,3,3,0.378288,0.014211,0.136591,0.136599
B2M,,3,8,0.56212,0.035792,0.18584,0.185841
CDH2,,5,2,0.191342,0.010674,0.065909,0.06591
RHOA,,5,9,0.588123,0.041151,0.212835,0.212831
NR3C1,,4,2,0.161763,0.010979,0.051578,0.051581
HSP90AA1,,4,9,0.503878,0.041949,0.171746,0.171734
ACTB,,5,7,0.340586,0.033983,0.110757,0.110752
RAD23A,,2,3,0.394033,0.014249,0.154922,0.154936
CFL1,,5,2,0.174348,0.010903,0.059082,0.059084
CDC5L,,0,2,0.165087,0.010962,0.051218,0.051222
VCL,,1,2,0.140177,0.011051,0.042015,0.04202
UBB,,2,3,0.4259,0.014066,0.165697,0.165712
SDC2,,1,3,0.31359,0.014386,0.104256,0.104261
HSPG2,,1,9,0.533956,0.041035,0.172135,0.172121
MAPK1,,6,2,0.190306,0.010814,0.060593,0.060596
APP,,6,9,0.499113,0.041961,0.160128,0.160125
TAP1,,3,2,0.256358,0.010348,0.096971,0.096977
SRC,,2,5,0.603882,0.022008,0.22671,0.226729
EGFR,,5,2,0.206216,0.010721,0.069856,0.06986
ADAM10,,6,2,0.247137,0.010509,0.092275,0.092282
MAPK8,,5,3,0.313263,0.014499,0.104301,0.104305
GAPDH,,5,2,0.161762,0.01098,0.049459,0.04946
FGF23,,2,3,0.432432,0.013855,0.168669,0.168683
IL6,,1,2,0.21538,0.01038,0.070173,0.070177
VEGFA,,1,3,0.284781,0.014558,0.089424,0.089433
SNCA,,6,2,0.270591,0.010425,0.100899,0.100906
TGOLN2,,0,2,0.193629,0.010797,0.060234,0.060236
AKT1,,5,2,0.202892,0.010738,0.070216,0.07022
APOB,,1,2,0.199319,0.010709,0.062423,0.062429
FGF2,,2,3,0.428265,0.013996,0.166127,0.166142
ITGB1,,1,2,0.174409,0.010798,0.05322,0.053227
IRF1,,3,2,0.199526,0.010653,0.065289,0.065291
CD44,,3,2,0.212111,0.010577,0.072793,0.072793
GNB2L1,,4,2,0.247138,0.010508,0.094394,0.094403
TP53,,4,3,0.380963,0.014184,0.139222,0.139233
KDR,,4,2,0.195995,0.010726,0.062783,0.062788
ALB,,1,3,0.282948,0.01446,0.089695,0.089699
APOE,,6,2,0.168719,0.010886,0.051031,0.051034
