"","cluster","gene","avg_expression"
"1","g17","KLK3",74.0807219187771
"2","g17","UBC",70.0312646573085
"3","g17","ACTB",69.5793276321846
"4","g17","ACTA2",68.587363385851
"5","g17","MYL9",64.613441720753
"6","g17","TAGLN",60.7374314633859
"7","g17","ACTG2",56.2461365452591
"8","g17","FLNA",41.0955313354377
"9","g17","KLK2",40.3276645585079
"10","g17","TPM2",38.0023796224555
"11","g17","EEF2",36.505730849373
"12","g17","TMSB4X",34.4665648565248
"13","g17","MYLK",32.4384958046613
"14","g17","IGKC",28.644044342791
"15","g17","TPM1",28.407500927309
"16","g17","NR4A1",27.7870090190095
"17","g17","JUNB",27.7857128061305
"18","g17","COL1A2",27.7582267037862
"19","g17","B2M",27.2538817800517
"20","g17","RHOB",21.2449617644243
"21","g17","FOS",21.1083349257695
"22","g17","EEF1G",20.1400512271455
"23","g17","DES",19.4236757316823
"24","g17","EGR1",19.3092979312252
"25","g17","CNN1",18.9281417388367
"26","g17","PABPC1",18.5090075440267
"27","g17","ITM2B",18.132348874291
"28","g17","CALD1",18.1267231973579
"29","g17","FTL",18.0651740269416
"30","g17","PSAP",17.7088343515264
"31","g17","FOSB",17.2098221074304
"32","g17","SPARC",17.2080622908856
"33","g17","FBLN1",17.1533521530942
"34","g17","DDX5",16.3737718232635
"35","g17","COL1A1",16.1668925837029
"36","g17","UBA52",15.9673585763272
"37","g17","MSMB",15.7899690217069
"38","g17","HSPB1",15.6470084366289
"39","g17","GSN",14.8435693576716
"40","g17","DCN",14.5944829623396
"41","g17","PFN1",14.5851259692118
"42","g17","CRISPLD2",14.4709523023661
"43","g17","TGM4",14.2409917027551
"44","g17","COL6A2",13.5114153533509
"45","g17","SERF2",13.3473086845612
"46","g17","PTMS",13.326076760876
"47","g17","SQSTM1",13.2321274116461
"48","g17","IGFBP5",13.0316439840468
"49","g17","CST3",12.3499244811997
"50","g17","CLU",12.1090050391911
"51","g17","SOCS3",11.5441337376768
"52","g17","C11orf96",11.2314491311888
"53","g17","EIF4B",11.1213344242915
"54","g17","ACPP",10.8861692088664
"55","g17","FN1",10.7352725166212
"56","g17","HNRNPA2B1",10.6862490151966
"57","g17","SYNPO2",10.6321251631182
"58","g17","MGP",10.5844731229998
"59","g17","COL3A1",10.4715178845147
"60","g17","BTG2",10.4246164092736
"61","g17","CEBPD",10.3609657917169
"62","g17","DDX17",10.2793487374567
"63","g17","HSPA8",10.1919677570315
"64","g17","PPDPF",10.0521744377453
"65","g17","CD81",10.0172742731372
"66","g17","IFITM3",9.96317347535993
"67","g17","HSP90AB1",9.89210343664156
"68","g17","MT2A",9.75277282784961
"69","g17","PLA2G2A",9.68803132974293
"70","g17","AEBP1",9.56811873386837
"71","g17","SMTN",9.52088703053885
"72","g17","HSP90AA1",9.47261297751436
"73","g17","S100A6",9.46988496256808
"74","g17","CD74",9.42464942776216
"75","g17","SYNM",9.40488358348092
"76","g17","CKB",9.3860418406477
"77","g17","LTBP4",9.31093577114398
"78","g17","CIRBP",9.2869804685444
"79","g17","VIM",9.23366642022911
"80","g17","CD63",9.18752608393285
"81","g17","IGFBP7",9.1315679650352
"82","g17","CCNI",9.12510418511063
"83","g17","FSTL1",8.98047019788803
"84","g17","IGF1",8.9804452186317
"85","g17","CAVIN1",8.963215246613
"86","g17","DUSP1",8.88996226663169
"87","g17","FTH1",8.87542796200075
"88","g17","ZFP36",8.86077840306178
"89","g17","SPARCL1",8.71978017073535
"90","g17","JUN",8.70599379516027
"91","g17","SERPINF1",8.6342790448612
"92","g17","PTGDS",8.47631625509941
"93","g17","OAZ1",8.44915059257533
"94","g17","UBB",8.43607370147456
"95","g17","TLE5",8.38242593763562
"96","g17","OR51E2",8.23427519527974
"97","g17","MAT2A",8.1139202413025
"98","g17","TMEFF2",8.10570253793762
"99","g17","XBP1",8.06149817448726
"100","g17","EIF4A1",8.0531421657376
"101","g7","MSMB",259.772795053597
"102","g7","KLK3",158.913747318291
"103","g7","KLK2",75.5880786198318
"104","g7","ACPP",73.6884575798247
"105","g7","UBC",58.7815976358523
"106","g7","ACTB",42.8645249999021
"107","g7","AZGP1",39.322524731264
"108","g7","MYL9",34.133098689835
"109","g7","B2M",31.766310229083
"110","g7","ACTA2",29.0386571317951
"111","g7","TAGLN",27.5570346521295
"112","g7","EEF2",26.902843714723
"113","g7","ACTG2",25.8962823534287
"114","g7","FLNA",20.736393904895
"115","g7","TMSB4X",20.1994983717563
"116","g7","ITM2B",19.8120829469632
"117","g7","TPM2",18.7462665540732
"118","g7","XBP1",18.4783996539734
"119","g7","EEF1G",17.8900154561722
"120","g7","NR4A1",17.1083337980353
"121","g7","PABPC1",17.0742031514976
"122","g7","SERF2",16.7857262526204
"123","g7","TPM1",15.4267403468333
"124","g7","KLK4",15.3679166919073
"125","g7","FTL",15.0312975108203
"126","g7","PTMS",14.8718807593233
"127","g7","UBA52",14.3872936638902
"128","g7","PSAP",14.2879430928282
"129","g7","MYLK",14.1143979681624
"130","g7","DDX5",13.7023579832492
"131","g7","RDH11",13.2497154365591
"132","g7","PPDPF",13.2450827101873
"133","g7","HSPB1",13.0358592324508
"134","g7","MT2A",13.0215220932609
"135","g7","NEFH",12.5305132963167
"136","g7","SLC45A3",12.2326195497133
"137","g7","VEGFA",12.164491292597
"138","g7","FTH1",12.1411185399212
"139","g7","CKB",12.0654059297967
"140","g7","PFN1",11.9387508025077
"141","g7","RHOB",11.6351557641003
"142","g7","HSP90AA1",11.58317796165
"143","g7","DES",11.4435427479653
"144","g7","SQSTM1",10.5948363356156
"145","g7","CD9",10.3950765728228
"146","g7","DDX17",10.2417506783678
"147","g7","JUNB",10.2334113886046
"148","g7","DBI",10.1259860466276
"149","g7","IGFBP5",10.0902472080633
"150","g7","NKX3-1",9.89526529745135
"151","g7","CIRBP",9.83123543309435
"152","g7","HSP90AB1",9.51662854844214
"153","g7","CALD1",9.4079446178292
"154","g7","FOXA1",9.28052404975438
"155","g7","HSPA8",9.27449646788947
"156","g7","HNRNPA2B1",9.23915564747257
"157","g7","CRISPLD2",9.22960479828127
"158","g7","EIF4B",9.00424996127542
"159","g7","ADIRF",8.92915226683068
"160","g7","KRT15",8.84406007743605
"161","g7","CST3",8.76844140966445
"162","g7","S100A6",8.72741821027345
"163","g7","IGFBP7",8.5822680468763
"164","g7","TMBIM6",8.54594986394587
"165","g7","IFITM3",8.51191671025534
"166","g7","CD63",8.47497517235451
"167","g7","STEAP2",8.30746749546745
"168","g7","SRSF5",8.25397792630636
"169","g7","CCNI",8.22261370500595
"170","g7","RACK1",8.22085992993938
"171","g7","CALR",8.15563986516442
"172","g7","CNN1",8.13054303441628
"173","g7","SNRNP70",8.06663151200449
"174","g7","CPE",8.055385488884
"175","g7","FBLN1",8.0512756717815
"176","g7","GABARAP",8.00689988128532
"177","g7","OAZ1",7.90873211664676
"178","g7","NOP53",7.86235380254227
"179","g7","ALDH1A3",7.82863545704435
"180","g7","TLE5",7.80684005329839
"181","g7","CD81",7.76559318682581
"182","g7","GSN",7.7455357310022
"183","g7","CEBPD",7.69614347330336
"184","g7","ARF1",7.45077604640831
"185","g7","PMEPA1",7.42217011761308
"186","g7","NUPR1",7.37754838916358
"187","g7","CD74",7.37092529093981
"188","g7","COL1A2",7.30988942641778
"189","g7","SRRM2",7.2916953787403
"190","g7","EGR1",7.23779948661661
"191","g7","UBB",7.19412851249518
"192","g7","ZFP36L2",7.17039292241542
"193","g7","MLPH",7.09961506492714
"194","g7","GNAS",7.01181412384302
"195","g7","HDLBP",7.01034228482432
"196","g7","AMD1",6.99112523143874
"197","g7","RHOA",6.95471466496928
"198","g7","HNRNPDL",6.95150090782929
"199","g7","CHCHD2",6.93835882056388
"200","g7","EIF4A1",6.89970966374169
"201","g4","KLK3",259.741314402487
"202","g4","KLK2",143.883989092338
"203","g4","EEF2",66.8755637014216
"204","g4","PLA2G2A",63.094422939055
"205","g4","SPON2",45.9359119129777
"206","g4","UBC",44.6644920071423
"207","g4","TMEFF2",43.5365252141373
"208","g4","EEF1G",39.0263785228484
"209","g4","OR51E2",37.0307266056561
"210","g4","PABPC1",33.3561094291331
"211","g4","GOLM1",30.1676951922889
"212","g4","OR51C1P",30.1271488643174
"213","g4","ACTB",28.9808078615603
"214","g4","RDH11",27.656084236702
"215","g4","UBA52",26.4357577669951
"216","g4","AMACR",25.9003277691241
"217","g4","CAMK2N1",25.5455233815325
"218","g4","ACPP",24.7839656279436
"219","g4","FTL",24.2373232587373
"220","g4","SERF2",24.129814376115
"221","g4","NPY",22.2065324461353
"222","g4","H2AFJ",21.9215653299039
"223","g4","PLPP1",20.0307170914843
"224","g4","FOXA1",18.7841658257619
"225","g4","SEC11C",18.7534226106908
"226","g4","STEAP2",18.275948350368
"227","g4","TMSB4X",18.1731651466307
"228","g4","AMD1",18.1389161589727
"229","g4","RACK1",18.012563655587
"230","g4","EIF4B",17.8330128071307
"231","g4","KLK4",17.1833147874201
"232","g4","PPDPF",16.1738100710058
"233","g4","XBP1",15.3270038788391
"234","g4","MLPH",15.2915379409029
"235","g4","PMEPA1",14.9593705477813
"236","g4","DDX5",14.939731806303
"237","g4","CIRBP",14.6235000254642
"238","g4","B2M",14.5543450163813
"239","g4","HSPA8",14.4605308764947
"240","g4","REXO2",14.3954831422474
"241","g4","PSAP",14.2722661138723
"242","g4","EIF4A1",13.917194581801
"243","g4","BCAM",13.6448983821945
"244","g4","PTMS",13.0595815656077
"245","g4","ITM2B",12.4842099798227
"246","g4","HSP90AB1",12.4169894304099
"247","g4","HDLBP",12.2241422767943
"248","g4","PFN1",12.0335648897205
"249","g4","DDX17",11.6794967758413
"250","g4","NR4A1",11.4885631051635
"251","g4","NKX3-1",11.4702067257781
"252","g4","CCNI",11.2913693322515
"253","g4","SPOCK1",11.2275507470764
"254","g4","CALR",11.2149887885122
"255","g4","MCCC2",11.108653241892
"256","g4","FTH1",10.8599833377589
"257","g4","HNRNPA2B1",10.610237015692
"258","g4","OAZ1",10.4312314015208
"259","g4","TMED2",10.2649523109498
"260","g4","NOP53",10.0018123350765
"261","g4","COX6A1",9.99504484155248
"262","g4","NUPR1",9.93183499928625
"263","g4","ARF1",9.88965811276742
"264","g4","SRRM2",9.84244574544531
"265","g4","CRISP3",9.7383270836993
"266","g4","FLNB",9.65870080166499
"267","g4","SRSF5",9.509691576995
"268","g4","ATP5F1B",9.47178026095795
"269","g4","CD9",9.40692014509556
"270","g4","CANX",9.37812767333829
"271","g4","STEAP1",9.23994978256813
"272","g4","GABARAP",9.21368988442578
"273","g4","CHCHD2",9.16058474930833
"274","g4","APLP2",9.10708357001311
"275","g4","TSPAN1",9.02164828463277
"276","g4","KRT18",8.98984324394706
"277","g4","HOXB13",8.78570594600049
