"Cluster Id","Average Distance (Height)","Bootstrapping Confidence Level","Total Number of Patients","Number in Group 1","Number in Group 2","Group 1 Weight Percentage","Group 2 Weight Percentage","p-value","Group 1 and Group 2 Clustering Coefficient","Group 1 Clustering Coefficient","Group 2 Clustering Coefficient","Group 1 minus Group 2 Clustering Coefficient","Group 2 minus Group 1 Clustering Coefficient","Group 1 Patients","Group 2 Patients",
"  C1","1.000000","N/A"," 22"," 22","  0"," 100.0000%","   0.0000%","1.000000","0.165018","0.108788","0.000000","0.108788","0.000000","g0, g1, g10, g11, g12, g13, g14, g15, g16, g17, g18, g19, g2, g20, g21, g3, g4, g5, g6, g7, g8, g9","<none>",
" C2","0.881911","N/A","14","14"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.108788","0.000000","0.108788","0.000000","g0, g1, g10, g11, g13, g15, g17, g18, g19, g2, g20, g21, g7, g8","<none>",
" C3","0.826938","N/A","13","13"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.108788","0.000000","0.108788","0.000000","g0, g1, g10, g11, g13, g15, g17, g18, g19, g2, g21, g7, g8","<none>",
" C4","0.693929","N/A","11","11"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.080647","0.000000","0.080647","0.000000","g0, g1, g10, g11, g13, g15, g17, g2, g21, g7, g8","<none>",
" C5","0.660280","N/A"," 6"," 6"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.062071","0.000000","0.062071","0.000000","g0, g1, g15, g17, g2, g21","<none>",
" C6","0.509966","N/A"," 5"," 5"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.071743","0.000000","0.071743","0.000000","g0, g1, g15, g17, g2","<none>",
" C7","0.457086","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.091763","0.000000","0.091763","0.000000","g1, g15, g2","<none>",
"C8","0.421874","N/A","2","2","0"," 100.0000%","   0.0000%","1.000000","0.165018","0.082671","0.000000","0.082671","0.000000","g1, g15","<none>",
"C9","0.434840","N/A","2","2","0"," 100.0000%","   0.0000%","1.000000","0.165018","0.074974","0.000000","0.074974","0.000000","g0, g17","<none>",
"C10","0.556230","N/A"," 5"," 5"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.073341","0.000000","0.073341","0.000000","g10, g11, g13, g7, g8","<none>",
"C11","0.500852","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.056792","0.000000","0.056792","0.000000","g10, g11, g8","<none>",
"C12","0.369275","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.047444","0.000000","0.047444","0.000000","g11, g8","<none>",
"C13","0.388945","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.061656","0.000000","0.061656","0.000000","g13, g7","<none>",
"C14","0.693433","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.039820","0.000000","0.039820","0.000000","g18, g19","<none>",
"C15","0.522081","N/A"," 8"," 8"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.059774","0.000000","0.059774","0.000000","g12, g14, g16, g3, g4, g5, g6, g9","<none>",
"C16","0.223422","N/A"," 5"," 5"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.035303","0.000000","0.035303","0.000000","g12, g14, g3, g4, g9","<none>",
"C17","0.130088","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.040247","0.000000","0.040247","0.000000","g12, g14, g4","<none>",
"C18","0.088379","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.050407","0.000000","0.050407","0.000000","g12, g4","<none>",
"C19","0.095929","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.040701","0.000000","0.040701","0.000000","g3, g9","<none>",
"C20","0.426189","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.088790","0.000000","0.088790","0.000000","g16, g5, g6","<none>",
"C21","0.364845","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.165018","0.088886","0.000000","0.088886","0.000000","g16, g6","<none>",
