#gene	origin	count
ARF1	group1	8.0
CFL1	imputed	5.0
GGA3	imputed	8.0
VAMP8	imputed	8.0
HIST1H2BB	imputed	8.0
TFRC	imputed	8.0
GNB2L1	group1	8.0
SPTAN1	imputed	5.0
CDH2	imputed	5.0
DNAJC5	imputed	8.0
TOM1	imputed	8.0
NR3C1	imputed	8.0
ACTB	group1	8.0
UBB	group1	8.0
B2M	group1	8.0
CDC5L	imputed	8.0
RAD23B	imputed	4.0
CD3D	imputed	4.0
SDC2	imputed	7.0
KAT2B	imputed	4.0
GNB1	imputed	8.0
TAP1	imputed	8.0
RAB11A	imputed	8.0
EGFR	imputed	8.0
GOLM1	group1	8.0
CDK1	imputed	8.0
ADAM10	imputed	7.0
DDOST	imputed	8.0
RAD23A	imputed	8.0
HSPA8	group1	8.0
PSAP	group1	8.0
RAC1	imputed	8.0
FGF23	imputed	1.0
PKN1	imputed	5.0
CST3	group1	8.0
JUN	imputed	8.0
RHOA	group1	5.0
APP	imputed	8.0
CKAP4	imputed	8.0
RUVBL1	imputed	8.0
IRF1	imputed	8.0
GAK	imputed	8.0
CD44	imputed	5.0
HSP90AA1	group1	8.0
TP53	imputed	8.0
UBC	group1	8.0
H2AFJ	group1	8.0
TGOLN2	imputed	8.0
UBA52	group1	8.0
DNAJC3	imputed	8.0
PLD1	imputed	5.0
RAB5C	imputed	8.0
EP300	imputed	8.0
MEN1	imputed	8.0
AKT1	imputed	8.0
