#source	target	weight (Interactome score)
ARF1	RAB5C	990
GGA3	UBC	917
GGA3	ARF1	983
VAMP8	UBB	907
VAMP8	PSAP	900
TFRC	UBC	928
TFRC	B2M	988
TFRC	HSPA8	934
TFRC	ARF1	941
SPTAN1	CST3	901
SPTAN1	ARF1	903
CDH2	GOLM1	948
CDH2	RHOA	958
DNAJC5	PSAP	905
DNAJC5	HSPA8	987
TOM1	UBC	920
NR3C1	HSP90AA1	983
NR3C1	ACTB	938
ACTB	RAD23A	910
ACTB	CFL1	999
ACTB	CDC5L	981
ACTB	RAD23B	917
ACTB	JUN	956
UBB	UBA52	996
UBB	HSPA8	950
UBB	UBC	998
UBB	GGA3	917
UBB	RAD23B	994
CDC5L	HSPA8	998
CD3D	UBB	902
CD3D	B2M	929
SDC2	CST3	904
SDC2	RHOA	952
KAT2B	UBB	924
KAT2B	H2AFJ	928
TAP1	B2M	969
TAP1	UBA52	914
RAB11A	HSP90AA1	955
RAB11A	ARF1	962
EGFR	HSPA8	959
EGFR	RHOA	968
GOLM1	TGOLN2	932
GOLM1	CST3	901
GOLM1	DNAJC3	901
CDK1	H2AFJ	916
ADAM10	GOLM1	904
ADAM10	UBB	919
HSPA8	DNAJC3	978
PSAP	DDOST	942
PSAP	GNB1	907
PSAP	TOM1	903
PSAP	RAB5C	904
RAC1	ACTB	950
RAC1	ARF1	940
FGF23	UBA52	900
FGF23	CST3	955
FGF23	UBB	900
FGF23	UBC	900
PKN1	RHOA	995
PKN1	H2AFJ	900
CST3	B2M	973
CST3	DNAJC3	902
JUN	H2AFJ	902
JUN	B2M	925
RHOA	AKT1	987
RHOA	GNB1	948
RHOA	CFL1	988
RHOA	UBC	953
APP	B2M	926
APP	CST3	956
APP	PSAP	910
CKAP4	GOLM1	942
CKAP4	PSAP	900
RUVBL1	ACTB	991
RUVBL1	H2AFJ	941
IRF1	B2M	944
IRF1	HSP90AA1	938
GAK	ARF1	920
GAK	HSPA8	994
CD44	RHOA	971
CD44	B2M	946
HSP90AA1	AKT1	998
HSP90AA1	CDK1	978
HSP90AA1	GNB2L1	974
HSP90AA1	HSPA8	999
TP53	UBC	965
TP53	HSP90AA1	990
UBC	HIST1H2BB	966
UBC	RAD23A	998
H2AFJ	HIST1H2BB	997
TGOLN2	UBA52	900
TGOLN2	UBC	900
TGOLN2	ARF1	959
UBA52	HIST1H2BB	976
UBA52	RAD23A	998
UBA52	UBC	996
UBA52	DDOST	902
UBA52	GNB2L1	998
PLD1	ARF1	968
PLD1	RHOA	977
EP300	H2AFJ	938
EP300	HSPA8	944
MEN1	H2AFJ	900
MEN1	CST3	900
MEN1	GOLM1	900
