#gene	origin	count
BAG1	imputed	1.0
IGFBP7	group1	1.0
CFL1	imputed	1.0
EGF	imputed	1.0
COPS5	imputed	1.0
GPC3	imputed	1.0
TFRC	imputed	1.0
GNB2L1	imputed	1.0
CDH2	imputed	1.0
ITGB1	imputed	1.0
NR3C1	imputed	1.0
ACTB	group1	1.0
VCL	imputed	1.0
UBB	imputed	1.0
B2M	group1	1.0
CDC5L	imputed	1.0
SDC2	imputed	1.0
MAPK1	imputed	1.0
TAP1	imputed	1.0
SRC	imputed	1.0
EGFR	imputed	1.0
ADAM10	imputed	1.0
MAPK8	imputed	1.0
RAD23A	imputed	1.0
GAPDH	imputed	1.0
HSPA8	group1	1.0
FGF23	imputed	1.0
CST3	group1	1.0
JUN	group1	1.0
APP	group1	1.0
RHOA	group1	1.0
APOB	imputed	1.0
FGF2	imputed	1.0
SNCA	imputed	1.0
FN1	group1	1.0
IRF1	imputed	1.0
CD44	imputed	1.0
HSP90AA1	group1	1.0
TP53	imputed	1.0
KDR	imputed	1.0
TF	imputed	1.0
UBC	group1	1.0
ALB	imputed	1.0
HSPG2	group1	1.0
VEGFA	imputed	1.0
TGOLN2	imputed	1.0
APOE	imputed	1.0
IL6	imputed	1.0
UBA52	group1	1.0
DNAJC3	imputed	1.0
IGFBP3	imputed	1.0
AKT1	imputed	1.0
