#source	target	weight (Interactome score)
BAG1	HSPA8	998
IGFBP7	IGFBP3	966
IGFBP7	DNAJC3	900
IGFBP7	GPC3	906
IGFBP7	JUN	936
IGFBP7	TF	903
IGFBP7	CST3	954
EGF	FN1	988
EGF	HSPA8	927
COPS5	UBA52	949
COPS5	UBC	971
COPS5	JUN	994
TFRC	UBC	928
TFRC	B2M	988
TFRC	HSPA8	934
CDH2	IGFBP7	912
CDH2	RHOA	958
NR3C1	HSP90AA1	983
NR3C1	ACTB	938
ACTB	RAD23A	910
ACTB	CFL1	999
ACTB	CDC5L	981
ACTB	JUN	956
VCL	FN1	984
VCL	ACTB	945
UBB	UBA52	996
UBB	HSPA8	950
UBB	UBC	998
CDC5L	HSPA8	998
SDC2	HSPG2	973
SDC2	CST3	904
SDC2	RHOA	952
MAPK1	HSP90AA1	979
MAPK1	APP	950
TAP1	B2M	969
TAP1	UBA52	914
SRC	UBA52	909
SRC	UBC	951
SRC	RHOA	980
EGFR	HSPA8	959
EGFR	RHOA	968
ADAM10	UBA52	900
ADAM10	APP	988
MAPK8	RHOA	993
GAPDH	ACTB	953
GAPDH	APP	966
HSPA8	DNAJC3	978
FGF23	UBA52	900
FGF23	CST3	955
FGF23	UBC	900
CST3	IL6	956
CST3	B2M	973
CST3	DNAJC3	902
JUN	IL6	984
JUN	MAPK8	999
JUN	VEGFA	983
JUN	BAG1	943
JUN	B2M	925
APP	SNCA	985
APP	TGOLN2	938
APP	CST3	956
APP	HSPG2	954
APP	MAPK8	984
RHOA	AKT1	987
RHOA	CFL1	988
RHOA	UBC	953
APOB	HSPG2	962
APOB	HSPA8	932
FGF2	UBC	923
FGF2	HSPG2	990
FGF2	UBA52	900
SNCA	UBC	950
FN1	IGFBP3	984
FN1	SRC	994
FN1	ITGB1	988
FN1	VEGFA	988
IRF1	B2M	944
IRF1	HSP90AA1	938
CD44	RHOA	971
CD44	B2M	946
HSP90AA1	AKT1	998
HSP90AA1	SRC	981
HSP90AA1	GNB2L1	974
HSP90AA1	HSPA8	999
TP53	UBC	965
TP53	HSP90AA1	990
TP53	JUN	991
KDR	HSP90AA1	980
KDR	HSPG2	957
TF	UBC	900
TF	UBA52	930
UBC	RAD23A	998
ALB	B2M	955
ALB	CST3	978
ALB	FN1	990
HSPG2	VEGFA	947
HSPG2	GPC3	967
HSPG2	ITGB1	972
HSPG2	B2M	920
TGOLN2	HSPA8	912
APOE	FN1	952
APOE	APP	995
UBA52	RAD23A	998
UBA52	UBC	996
UBA52	GNB2L1	998
