"","cluster","gene","avg_expression"
"1","g4","ACTA2",102.776693013201
"2","g4","MYL9",99.9838644143105
"3","g4","TAGLN",77.1613061826758
"4","g4","ACTB",76.3545824267892
"5","g4","UBC",71.3471218760418
"6","g4","ACTG2",70.8218257349404
"7","g4","FLNA",69.2824657296756
"8","g4","TPM2",60.3461298353833
"9","g4","MYLK",51.9925978278777
"10","g4","TPM1",39.584402829342
"11","g4","TMSB4X",39.2783249390327
"12","g4","PTGDS",34.5782389252704
"13","g4","IGFBP7",34.5223293940881
"14","g4","CLU",33.2082412748354
"15","g4","DES",31.9651083613953
"16","g4","S100A6",28.8250453575124
"17","g4","B2M",27.5025297937417
"18","g4","GSN",25.9033857261137
"19","g4","LTBP4",24.2986266679761
"20","g4","DCN",24.2169846394089
"21","g4","EEF2",24.0325988533922
"22","g4","HSPB1",23.7764873621866
"23","g4","FBLN1",22.3952924881382
"24","g4","CALD1",20.7121212311837
"25","g4","SPARC",20.628540875505
"26","g4","CNN1",20.0530470619957
"27","g4","TIMP3",19.9705333505423
"28","g4","KLK3",19.8378140233472
"29","g4","PABPC1",18.262421646253
"30","g4","PSAP",18.0297357871854
"31","g4","CD81",17.774701701786
"32","g4","C7",17.2613637216281
"33","g4","COL1A2",16.903180623852
"34","g4","FTL",16.7648766010191
"35","g4","UBA52",16.4606218503902
"36","g4","A2M",15.7248001428294
"37","g4","PAGE4",15.4796438178787
"38","g4","ITM2B",15.4210896622576
"39","g4","PFN1",15.0068297976738
"40","g4","RHOB",14.8065494852198
"41","g4","C1R",14.2083872194559
"42","g4","VIM",14.0999573878841
"43","g4","CCNI",13.8919757459423
"44","g4","CFD",13.7530439046455
"45","g4","SYNPO2",13.5329622553439
"46","g4","FTH1",12.9309418237666
"47","g4","CCN2",12.580287627419
"48","g4","CAVIN1",12.4976249968863
"49","g4","AEBP1",12.252377892081
"50","g4","EEF1G",12.2427445380845
"51","g4","MAP1B",12.1667487192937
"52","g4","PTMS",12.157821392301
"53","g4","COL6A2",12.0792807949858
"54","g4","ACPP",11.6953573066563
"55","g4","DDX5",11.6132156328108
"56","g4","LUM",11.5086487367902
"57","g4","SQSTM1",11.2266598290351
"58","g4","CD99",10.8541521444806
"59","g4","CD63",10.7438543610452
"60","g4","TNS1",10.6328227424659
"61","g4","CST3",10.4805045445481
"62","g4","SERF2",10.4367364881761
"63","g4","EIF4B",10.417759718783
"64","g4","CD74",10.4020598719126
"65","g4","TCEAL4",10.4018687755521
"66","g4","HSP90AA1",10.2458973654512
"67","g4","HSPB6",10.2217755367878
"68","g4","SYNM",10.221335591286
"69","g4","HSP90AB1",10.1059080258377
"70","g4","IGFBP5",9.96503860960951
"71","g4","COL3A1",9.93475350276102
"72","g4","TIMP2",9.77044329909676
"73","g4","IFITM3",9.75357507402615
"74","g4","SPARCL1",9.707638537503
"75","g4","SORBS1",9.59772100119433
"76","g4","DDX17",9.56074884366875
"77","g4","CRISPLD2",9.54869157709343
"78","g4","CIRBP",9.51836990349821
"79","g4","RHOA",9.3176105463787
"80","g4","SMTN",9.26906673174851
"81","g4","UBB",9.25195416776113
"82","g4","FSTL1",8.94956048498959
"83","g4","HSPA8",8.90485621287917
"84","g4","MXRA7",8.75565039704415
"85","g4","ACTN1",8.6347759255623
"86","g4","EIF4A2",8.62499579658289
"87","g4","PPDPF",8.46929476357684
"88","g4","LMOD1",8.38093878178689
"89","g4","SELENOM",8.2785201118184
"90","g4","GABARAP",8.18317608111163
"91","g4","TLE5",8.16282058266642
"92","g4","C1S",8.11943623599191
"93","g4","TIMP1",8.09863759474212
"94","g4","DPYSL3",8.00575615049001
"95","g4","CKB",7.83861913893132
"96","g4","LGALS3BP",7.83091004417933
"97","g4","SERPING1",7.72126673198528
"98","g4","KLK2",7.70196319218142
"99","g4","LGALS1",7.66000353695831
"100","g4","EID1",7.57380025860937
