Id,Label,modularity_class,Degree,eigencentrality,Authority,Hub,pageranks
IGFBP5,,4,2,0.151999,0.041685,0.041688,0.00914
IGF1,,4,8,0.527753,0.155743,0.155724,0.030402
CST3,,0,8,0.434297,0.117008,0.117009,0.030378
TIMP1,,3,2,0.171255,0.047542,0.047545,0.008894
ACTN1,,3,8,0.66211,0.194059,0.194046,0.028107
EGF,,0,6,0.601825,0.179745,0.179764,0.02112
FN1,,4,8,0.703188,0.210354,0.210329,0.028085
HSPA8,,0,8,0.53337,0.155813,0.155807,0.029936
UBA52,,1,11,0.828359,0.250353,0.250334,0.03918
UBB,,0,9,0.704482,0.209801,0.209797,0.031983
ACTN4,,4,2,0.155652,0.043312,0.043319,0.009215
ACTB,,2,10,0.458714,0.127675,0.127663,0.038821
TFRC,,1,3,0.298762,0.086016,0.086022,0.012076
UBC,,1,11,0.880755,0.266392,0.266386,0.038474
B2M,,2,11,0.517111,0.140605,0.140586,0.041901
ITGB1,,3,9,0.676416,0.199809,0.199791,0.032345
VEGFA,,4,12,1,0.299145,0.299155,0.041746
NR3C1,,5,2,0.183167,0.051865,0.051871,0.009188
HSP90AA1,,5,11,0.710638,0.211699,0.211679,0.041466
RAD23A,,1,3,0.331128,0.098488,0.098496,0.011985
CFL1,,2,2,0.19262,0.055443,0.05545,0.009063
RAD23B,,2,2,0.181242,0.051578,0.051581,0.009003
CDC5L,,2,2,0.157109,0.043326,0.043329,0.009164
JUN,,2,3,0.308109,0.086723,0.086728,0.012179
VCL,,2,6,0.584981,0.16927,0.169293,0.021335
RHOA,,4,10,0.78518,0.235115,0.23509,0.036223
SNCA,,0,3,0.322958,0.094454,0.09446,0.011913
CD3D,,2,2,0.190743,0.053553,0.053558,0.008941
MAPK1,,0,2,0.192732,0.054025,0.054033,0.009124
APP,,0,11,0.518468,0.14182,0.141802,0.04188
TAP1,,1,2,0.208477,0.059748,0.059756,0.008949
CLU,,4,3,0.265866,0.075131,0.075142,0.012139
SRC,,4,8,0.921501,0.278589,0.278614,0.027135
HIF1A,,1,2,0.28224,0.08644,0.086439,0.008609
EGFR,,3,6,0.669703,0.20161,0.201629,0.02121
ADAM10,,1,2,0.208541,0.059934,0.059941,0.008947
MAPK8,,0,2,0.202185,0.057604,0.057612,0.008999
GAPDH,,0,2,0.158083,0.041185,0.041191,0.009221
DNAJC3,,0,2,0.153455,0.041698,0.041699,0.009089
ALDOA,,4,2,0.165154,0.045287,0.045295,0.009153
IGFBP3,,4,2,0.186627,0.055947,0.055956,0.008899
FGF23,,0,4,0.434457,0.128926,0.128932,0.014932
AKT1,,5,2,0.227268,0.068284,0.068293,0.008967
HSPG2,,3,2,0.186541,0.052208,0.052216,0.008975
TGOLN2,,0,2,0.166673,0.045486,0.045491,0.0091
ALB,,4,5,0.493513,0.138914,0.138925,0.018331
ITGAV,,4,2,0.207951,0.062682,0.062691,0.008723
IRF1,,5,2,0.192668,0.053839,0.053848,0.009126
CD44,,2,2,0.202121,0.057418,0.057427,0.009001
GNB2L1,,1,2,0.233624,0.070614,0.070622,0.008915
TP53,,5,2,0.241059,0.073068,0.073073,0.008859
KDR,,5,2,0.258996,0.078078,0.07808,0.008842
VCAM1,,3,2,0.186478,0.052023,0.05203,0.008977
HIF3A,,1,2,0.274805,0.083986,0.083988,0.008665
TGFB1,,3,6,0.649495,0.191803,0.191818,0.020928
SPP1,,0,3,0.291684,0.084351,0.08436,0.012046
