Id,Label,modularity_class,Degree,eigencentrality,Authority,Hub,pageranks
HSPA1A,,2,2,0.286423,0.096489,0.096499,0.011789
UBA52,,1,10,0.82959,0.282261,0.282239,0.050815
ARF1,,0,10,0.707765,0.235623,0.235578,0.051212
VEGFA,,0,3,0.382598,0.122782,0.122798,0.016095
RAB5C,,4,2,0.232953,0.071527,0.071544,0.011956
GGA3,,0,2,0.338691,0.118612,0.118628,0.011559
UBC,,1,10,1,0.35115,0.35113,0.04942
STIP1,,2,2,0.263124,0.086063,0.086073,0.011847
HSP90AB1,,2,8,0.590232,0.195053,0.195037,0.042024
MAPK3,,2,2,0.237626,0.07338,0.073392,0.011928
APP,,6,9,0.555973,0.167969,0.167939,0.047196
HSPA8,,2,9,0.992659,0.342645,0.342637,0.043692
AR,,5,2,0.211177,0.06787,0.067872,0.012084
CCT5,,3,2,0.207298,0.062651,0.062656,0.012076
ACTB,,3,9,0.554521,0.169251,0.169224,0.047187
GNB2L1,,5,5,0.437301,0.140664,0.140674,0.027156
TFRC,,0,4,0.634687,0.216757,0.216783,0.020199
B2M,,6,8,0.478142,0.142862,0.142831,0.042428
GNB1,,4,2,0.180065,0.052343,0.052346,0.012216
DNAJC5,,2,2,0.283774,0.093173,0.09318,0.011727
PSAP,,4,8,0.408814,0.118256,0.118234,0.043252
TOM1,,1,2,0.284597,0.094889,0.0949,0.011802
NR3C1,,3,2,0.259246,0.080844,0.080857,0.011839
HSP90AA1,,5,9,0.702469,0.230694,0.230669,0.046347
CXCL1,,4,2,0.19108,0.052777,0.05279,0.012111
RAD23A,,1,2,0.282544,0.09127,0.091282,0.011781
RHOA,,1,2,0.311831,0.105198,0.10521,0.011662
TMSB4X,,6,5,0.46428,0.141084,0.141089,0.025641
CDC5L,,2,3,0.431549,0.142911,0.142924,0.016055
JUN,,3,2,0.218313,0.063085,0.0631,0.011972
UBB,,1,3,0.555394,0.197317,0.197329,0.015652
MAPK1,,6,2,0.259667,0.080584,0.080598,0.01184
TAP1,,1,2,0.267532,0.085934,0.085947,0.011834
RAB11A,,5,2,0.286106,0.094258,0.094275,0.011736
EGFR,,5,2,0.33775,0.11762,0.117631,0.011582
ADAM10,,1,2,0.282966,0.09101,0.091023,0.011782
GAPDH,,3,2,0.233748,0.068161,0.068176,0.01192
DDOST,,4,2,0.255311,0.080961,0.080973,0.011921
RAC1,,3,2,0.260187,0.081835,0.081853,0.011816
CST3,,6,2,0.218735,0.062825,0.062841,0.011973
SNCA,,1,2,0.312252,0.104938,0.10495,0.011663
TGOLN2,,2,3,0.454953,0.150846,0.150867,0.015945
PSEN1,,4,2,0.206514,0.057853,0.057866,0.01206
IRF1,,6,2,0.244233,0.075508,0.075522,0.011892
GAK,,2,2,0.337869,0.116895,0.116908,0.011484
VAMP2,,0,2,0.309405,0.104684,0.104701,0.011678
PPBP,,6,3,0.287571,0.081301,0.081313,0.01647
FYN,,2,2,0.222192,0.068304,0.068316,0.01198
TGFB1,,1,3,0.457541,0.15657,0.15658,0.015883
ACTR1A,,2,2,0.264065,0.087054,0.08707,0.011824
