"Cluster Id","Average Distance (Height)","Bootstrapping Confidence Level","Total Number of Patients","Number in Group 1","Number in Group 2","Group 1 Weight Percentage","Group 2 Weight Percentage","p-value","Group 1 and Group 2 Clustering Coefficient","Group 1 Clustering Coefficient","Group 2 Clustering Coefficient","Group 1 minus Group 2 Clustering Coefficient","Group 2 minus Group 1 Clustering Coefficient","Group 1 Patients","Group 2 Patients",
"  C1","1.000000","N/A"," 26"," 26","  0"," 100.0000%","   0.0000%","1.000000","0.160295","0.099021","0.000000","0.099021","0.000000","g0, g1, g10, g11, g12, g13, g14, g15, g16, g17, g18, g19, g2, g20, g21, g22, g23, g24, g25, g3, g4, g5, g6, g7, g8, g9","<none>",
"  C2","0.780485","N/A"," 25"," 25","  0"," 100.0000%","   0.0000%","1.000000","0.160295","0.108389","0.000000","0.108389","0.000000","g0, g1, g10, g11, g12, g13, g14, g15, g16, g17, g18, g19, g2, g20, g21, g23, g24, g25, g3, g4, g5, g6, g7, g8, g9","<none>",
" C3","0.574566","N/A","15","15"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.081828","0.000000","0.081828","0.000000","g0, g1, g10, g12, g13, g15, g16, g18, g2, g21, g23, g25, g4, g5, g6","<none>",
" C4","0.534527","N/A","11","11"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.064870","0.000000","0.064870","0.000000","g1, g10, g12, g15, g16, g18, g2, g23, g25, g4, g5","<none>",
" C5","0.468452","N/A"," 5"," 5"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.056944","0.000000","0.056944","0.000000","g12, g16, g18, g23, g25","<none>",
" C6","0.462014","N/A"," 4"," 4"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.056944","0.000000","0.056944","0.000000","g12, g16, g18, g25","<none>",
" C7","0.418034","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.095062","0.000000","0.095062","0.000000","g12, g16, g18","<none>",
"C8","0.331234","N/A","2","2","0"," 100.0000%","   0.0000%","1.000000","0.160295","0.076609","0.000000","0.076609","0.000000","g12, g16","<none>",
" C9","0.378117","N/A"," 6"," 6"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.122819","0.000000","0.122819","0.000000","g1, g10, g15, g2, g4, g5","<none>",
"C10","0.313879","N/A"," 4"," 4"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.122819","0.000000","0.122819","0.000000","g1, g10, g15, g4","<none>",
"C11","0.155383","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.096816","0.000000","0.096816","0.000000","g1, g15","<none>",
"C12","0.246850","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.122819","0.000000","0.122819","0.000000","g10, g4","<none>",
"C13","0.345715","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.124460","0.000000","0.124460","0.000000","g2, g5","<none>",
"C14","0.443753","N/A"," 4"," 4"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.094947","0.000000","0.094947","0.000000","g0, g13, g21, g6","<none>",
"C15","0.316941","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.125027","0.000000","0.125027","0.000000","g0, g6","<none>",
"C16","0.348059","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.068857","0.000000","0.068857","0.000000","g13, g21","<none>",
"C17","0.752467","N/A","10","10"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.061544","0.000000","0.061544","0.000000","g11, g14, g17, g19, g20, g24, g3, g7, g8, g9","<none>",
"C18","0.647812","N/A"," 9"," 9"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.098032","0.000000","0.098032","0.000000","g11, g14, g17, g19, g20, g3, g7, g8, g9","<none>",
"C19","0.580779","N/A"," 5"," 5"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.059286","0.000000","0.059286","0.000000","g11, g14, g19, g20, g7","<none>",
"C20","0.543813","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.059286","0.000000","0.059286","0.000000","g14, g20, g7","<none>",
"C21","0.352465","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.055406","0.000000","0.055406","0.000000","g14, g7","<none>",
"C22","0.493945","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.024175","0.000000","0.024175","0.000000","g11, g19","<none>",
"C23","0.567703","N/A"," 4"," 4"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.037928","0.000000","0.037928","0.000000","g17, g3, g8, g9","<none>",
"C24","0.496572","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.021442","0.000000","0.021442","0.000000","g3, g8, g9","<none>",
"C25","0.390451","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.160295","0.082311","0.000000","0.082311","0.000000","g8, g9","<none>",
