#source	target	weight (Interactome score)
IGFBP7	DNAJC3	900
IGFBP7	SPARCL1	918
IGFBP7	JUN	936
IGFBP7	TF	903
IGFBP7	CST3	954
VAMP8	UBB	907
VAMP8	PSAP	900
KTN1	RHOA	943
KTN1	SPARCL1	902
TFRC	UBC	928
TFRC	B2M	988
TFRC	HSPA8	934
CDH2	IGFBP7	912
CDH2	RHOA	958
DNAJC5	PSAP	905
DNAJC5	HSPA8	987
TOM1	UBC	920
CXCL1	B2M	931
UBB	UBA52	996
UBB	SNCA	956
UBB	HSPA8	950
UBB	UBC	998
UBB	TF	900
CD3D	UBB	902
CD3D	B2M	929
SDC2	CST3	904
SDC2	RHOA	952
MAPK1	HSP90AA1	979
MAPK1	APP	950
TAP1	B2M	969
TAP1	UBA52	914
HIF1A	UBC	948
HIF1A	VEGFA	996
C3	PSAP	905
C3	CST3	937
C3	SPARCL1	923
C3	IGFBP7	916
EGFR	HSPA8	959
EGFR	RHOA	968
ADAM10	UBB	919
ADAM10	UBA52	900
ADAM10	SPARCL1	901
ADAM10	APP	988
MAPK8	RHOA	993
SPARCL1	DNAJC3	907
HSPA8	DNAJC3	978
PSAP	DDOST	942
PSAP	CXCL1	900
PSAP	GNB1	907
PSAP	TOM1	903
FGF23	UBA52	900
FGF23	CST3	955
FGF23	UBB	900
FGF23	UBC	900
CST3	B2M	973
CST3	SPARCL1	906
CST3	DNAJC3	902
JUN	VEGFA	983
RHOA	AKT1	987
RHOA	GNB1	948
RHOA	UBC	953
RHOA	VEGFA	977
APP	SNCA	985
APP	TGOLN2	938
APP	CST3	956
APP	MAPK8	984
APP	PSEN1	998
IRF1	B2M	944
IRF1	HSP90AA1	938
SNCA	UBC	950
FN1	SPARCL1	933
FN1	VEGFA	988
CD44	RHOA	971
CD44	B2M	946
HSP90AA1	VEGFA	974
HSP90AA1	AKT1	998
HSP90AA1	GNB2L1	974
HSP90AA1	HSPA8	999
TP53	UBC	965
TP53	HSP90AA1	990
KDR	VEGFA	999
KDR	HSP90AA1	980
TF	SPARCL1	910
TF	UBC	900
TF	UBA52	930
PF4	PSAP	902
PF4	VEGFA	973
ALB	VEGFA	986
ALB	B2M	955
ALB	CST3	978
TGOLN2	HSPA8	912
APOE	SPARCL1	927
APOE	APP	995
UBA52	UBC	996
UBA52	DDOST	902
UBA52	GNB2L1	998
HIF3A	VEGFA	929
HIF3A	UBA52	904
PSEN1	PSAP	919
TGFB1	APP	962
TGFB1	VEGFA	993
TGFB1	UBB	915
