#gene	origin	count
CFL1	imputed	15.0
IGFBP5	group1	12.0
TIMP1	group1	15.0
EGF	imputed	15.0
ACTN4	imputed	13.0
TFRC	imputed	15.0
GNB2L1	group1	15.0
ITGB1	group1	15.0
NR3C1	imputed	15.0
ACTB	group1	15.0
VCL	imputed	15.0
UBB	group1	15.0
B2M	group1	15.0
RAD23B	imputed	9.0
CDC5L	imputed	15.0
CD3D	imputed	9.0
MAPK1	imputed	15.0
TAP1	imputed	15.0
CLU	group1	15.0
SRC	imputed	14.0
HIF1A	imputed	1.0
EGFR	imputed	15.0
ADAM10	imputed	11.0
MAPK8	imputed	4.0
RAD23A	imputed	15.0
GAPDH	imputed	4.0
HSPA8	group1	15.0
IGF1	group1	14.0
FGF23	imputed	15.0
CST3	group1	15.0
JUN	imputed	15.0
RHOA	group1	15.0
APP	group1	15.0
ITGAV	imputed	14.0
FN1	group1	15.0
SNCA	imputed	3.0
IRF1	imputed	15.0
CD44	imputed	15.0
HSP90AA1	group1	15.0
TP53	imputed	15.0
KDR	imputed	1.0
ALDOA	imputed	15.0
UBC	group1	15.0
ALB	imputed	10.0
HSPG2	imputed	15.0
VEGFA	group1	15.0
TGOLN2	imputed	13.0
UBA52	group1	15.0
DNAJC3	imputed	14.0
VCAM1	imputed	5.0
HIF3A	imputed	1.0
TGFB1	imputed	15.0
ACTN1	group1	15.0
IGFBP3	group1	15.0
AKT1	imputed	15.0
SPP1	imputed	14.0
