#gene	origin	count
HSPA1A	imputed	1.0
ARF1	group1	1.0
IGFBP7	group1	1.0
SURF4	imputed	1.0
GGA3	imputed	1.0
STIP1	imputed	1.0
SYVN1	imputed	1.0
CALR	group1	1.0
HSP90AB1	group1	1.0
TFRC	imputed	1.0
GNB2L1	imputed	1.0
SPTAN1	imputed	1.0
DNAJC5	imputed	1.0
TOM1	imputed	1.0
NR3C1	imputed	1.0
ACTB	group1	1.0
DNAJB1	imputed	1.0
UBB	imputed	1.0
B2M	group1	1.0
CDC5L	imputed	1.0
TAP1	imputed	1.0
RAB11A	imputed	1.0
HIF1A	imputed	1.0
C3	imputed	1.0
EGFR	imputed	1.0
DDOST	imputed	1.0
RAD23A	imputed	1.0
HSPA8	group1	1.0
PSAP	group1	1.0
HSPA5	group1	1.0
RAC1	imputed	1.0
HSP90B1	imputed	1.0
FGF23	imputed	1.0
CST3	group1	1.0
JUN	imputed	1.0
RHOA	imputed	1.0
APP	imputed	1.0
IRF1	imputed	1.0
GAK	imputed	1.0
HSP90AA1	group1	1.0
VAMP2	imputed	1.0
KDR	imputed	1.0
TF	imputed	1.0
UBC	group1	1.0
PF4	imputed	1.0
ALB	imputed	1.0
VEGFA	group1	1.0
TGOLN2	imputed	1.0
FYN	imputed	1.0
UBA52	group1	1.0
DNAJC3	imputed	1.0
HIF3A	imputed	1.0
RAB5C	imputed	1.0
AKT1	imputed	1.0
ACTR1A	imputed	1.0
