#source	target	weight (Interactome score)
HSPA1A	UBA52	921
ARF1	VEGFA	904
ARF1	RAB5C	990
GGA3	UBC	917
GGA3	ARF1	983
STIP1	HSP90AB1	999
MAPK3	HSP90AB1	953
MAPK3	APP	955
HSP90AB1	HSPA8	998
HSP90AB1	AR	977
HSP90AB1	HSPA1A	997
CCT5	ACTB	967
CCT5	GNB2L1	950
TFRC	UBC	928
TFRC	B2M	988
TFRC	HSPA8	934
TFRC	ARF1	941
GNB2L1	GNB1	958
DNAJC5	PSAP	905
DNAJC5	HSPA8	987
TOM1	UBC	920
NR3C1	HSP90AA1	983
NR3C1	ACTB	938
CXCL1	B2M	931
ACTB	RAD23A	910
ACTB	RHOA	960
ACTB	TMSB4X	971
ACTB	CDC5L	981
ACTB	JUN	956
UBB	UBA52	996
UBB	HSPA8	950
UBB	UBC	998
CDC5L	HSPA8	998
CDC5L	HSP90AB1	982
MAPK1	HSP90AA1	979
MAPK1	APP	950
TAP1	B2M	969
TAP1	UBA52	914
RAB11A	HSP90AA1	955
RAB11A	ARF1	962
EGFR	UBC	961
EGFR	HSP90AA1	989
ADAM10	UBA52	900
ADAM10	APP	988
TMSB4X	VEGFA	958
GAPDH	ACTB	953
GAPDH	APP	966
HSPA8	UBC	946
PSAP	DDOST	942
PSAP	CXCL1	900
PSAP	GNB1	907
PSAP	TOM1	903
PSAP	RAB5C	904
RAC1	ACTB	950
RAC1	ARF1	940
CST3	B2M	973
JUN	B2M	925
APP	SNCA	985
APP	TGOLN2	938
APP	CST3	956
APP	TMSB4X	900
APP	PSEN1	998
RHOA	UBC	953
SNCA	UBC	950
IRF1	B2M	944
IRF1	HSP90AA1	938
GAK	ARF1	920
GAK	HSPA8	994
HSP90AA1	VEGFA	974
HSP90AA1	GNB2L1	974
HSP90AA1	HSPA8	999
HSP90AA1	STIP1	999
VAMP2	ARF1	933
VAMP2	UBA52	918
PPBP	B2M	929
PPBP	TMSB4X	924
PPBP	PSAP	900
TGOLN2	HSPA8	912
TGOLN2	ARF1	959
FYN	HSP90AB1	927
FYN	B2M	920
AR	GNB2L1	948
UBA52	RAD23A	998
UBA52	UBC	996
UBA52	DDOST	902
UBA52	GNB2L1	998
PSEN1	PSAP	919
TGFB1	TMSB4X	912
TGFB1	UBC	913
TGFB1	UBA52	900
ACTR1A	HSP90AB1	961
ACTR1A	ARF1	917
