Id,Label,modularity_class,Degree,eigencentrality,Authority,Hub,pageranks
RAF1,,0,2,0.197977,0.05809,0.058094,0.009174
RAP1A,,1,8,0.465437,0.138338,0.138329,0.031383
UBA52,,0,12,0.817129,0.240982,0.240973,0.044551
MAP2K1,,1,2,0.168392,0.048691,0.048693,0.009258
UBB,,0,9,0.616524,0.179598,0.179598,0.034307
TIMP1,,3,2,0.162108,0.045347,0.045349,0.00915
CST3,,2,9,0.426566,0.11603,0.116028,0.035347
ACTN1,,3,7,0.603098,0.180069,0.180063,0.025787
FGA,,2,2,0.143165,0.038955,0.038957,0.009355
COPS5,,4,3,0.389388,0.116449,0.116454,0.011904
UBC,,4,13,0.990197,0.294973,0.294963,0.046147
JUN,,4,9,0.753069,0.22442,0.224414,0.03228
TFRC,,6,2,0.236357,0.068642,0.068645,0.008985
B2M,,6,10,0.54123,0.153235,0.153231,0.038652
ITGB1,,5,10,0.752704,0.227739,0.227737,0.036453
VEGFA,,5,11,0.968974,0.297103,0.297098,0.038516
ACTB,,3,8,0.468208,0.136025,0.136024,0.031116
RAD23A,,3,3,0.348979,0.102912,0.102916,0.012163
CFL1,,1,2,0.187295,0.054867,0.054868,0.009191
CDC5L,,0,2,0.150338,0.041746,0.041748,0.009384
RAD23B,,0,2,0.169455,0.048339,0.048339,0.009228
VCL,,5,7,0.664076,0.197538,0.197545,0.024972
FN1,,5,7,0.755574,0.232211,0.232204,0.024071
RHOA,,1,10,0.743858,0.222233,0.222227,0.037674
RAPGEF1,,1,2,0.186232,0.05522,0.055223,0.00922
SNCA,,3,3,0.313442,0.090109,0.090112,0.012306
HSPA8,,0,2,0.172088,0.048419,0.048422,0.009318
CD3D,,0,2,0.182021,0.050974,0.050975,0.009208
CDC42,,5,4,0.478891,0.147423,0.14743,0.014936
SDC2,,2,2,0.183818,0.051805,0.051806,0.009222
MAPK1,,3,2,0.144386,0.038342,0.038345,0.009443
HSP90AA1,,0,10,0.476803,0.136566,0.136555,0.039924
APP,,3,9,0.413157,0.113805,0.1138,0.03563
TAP1,,0,2,0.211606,0.060373,0.060376,0.009124
CLU,,3,2,0.159633,0.045005,0.045008,0.009178
SRC,,4,9,1,0.301222,0.301237,0.030877
HIF1A,,4,2,0.294275,0.090676,0.090679,0.008674
EGFR,,0,4,0.465626,0.137871,0.137878,0.015352
TLN1,,1,2,0.186803,0.056064,0.056066,0.009116
ADAM10,,3,2,0.193089,0.054334,0.054337,0.009204
MAPK8,,1,3,0.295605,0.085833,0.085836,0.0123
GAPDH,,3,2,0.141753,0.038261,0.038262,0.009354
FGF23,,0,4,0.441105,0.127356,0.12736,0.015436
IL6,,2,2,0.184637,0.052139,0.052141,0.009067
AKT1,,1,2,0.189928,0.054948,0.054951,0.00928
HSPG2,,3,2,0.181915,0.052307,0.052309,0.009146
IRF1,,6,2,0.162904,0.044381,0.044384,0.009363
CD44,,6,2,0.199861,0.057502,0.057504,0.00917
GNB2L1,,0,2,0.201673,0.057818,0.057823,0.009233
TP53,,4,3,0.340685,0.100457,0.100463,0.012144
KDR,,0,2,0.220822,0.066415,0.066418,0.009053
ALB,,5,4,0.412957,0.122302,0.122305,0.015206
VCAM1,,6,2,0.200432,0.058346,0.058347,0.009066
HIF3A,,0,2,0.269524,0.082407,0.08241,0.008813
TGFB1,,5,7,0.739674,0.222823,0.22283,0.024471
SPP1,,2,2,0.18439,0.052649,0.052649,0.009118
