"","cluster","gene","avg_expression"
"1","g13","KLK3",131.533311273567
"2","g13","MSMB",86.4837155816575
"3","g13","UBC",71.484792285236
"4","g13","ACPP",58.0997141544679
"5","g13","KLK2",51.3177934716406
"6","g13","MYL9",44.7081049140476
"7","g13","ACTB",41.1933131890916
"8","g13","ACTA2",40.6985898408445
"9","g13","B2M",33.7638449149697
"10","g13","TMSB4X",33.2126488116785
"11","g13","EEF2",27.472722338051
"12","g13","ACTG2",27.3336611142035
"13","g13","FLNA",27.0194330077856
"14","g13","TAGLN",26.9093930062408
"15","g13","TPM2",24.2883047872606
"16","g13","AZGP1",23.5487097935517
"17","g13","PABPC1",23.5154998856792
"18","g13","IGFBP7",21.8943016520569
"19","g13","ITM2B",20.3669931681427
"20","g13","TPM1",20.1784772909184
"21","g13","IGKC",20.1132433420593
"22","g13","EEF1G",19.9727932371242
"23","g13","UBA52",18.8912764928387
"24","g13","S100A6",16.6291413482347
"25","g13","FTL",16.3364231112291
"26","g13","RHOB",16.2033351567233
"27","g13","DES",15.6655302705204
"28","g13","FTH1",14.9936209586485
"29","g13","GSN",14.061122778313
"30","g13","CALD1",13.9172303250696
"31","g13","SERF2",13.8959914533325
"32","g13","LTBP4",13.6578729700778
"33","g13","XBP1",13.4954220225195
"34","g13","MYLK",13.4486764047346
"35","g13","PSAP",13.09066544747
"36","g13","HSPB1",12.2640417665468
"37","g13","PTMS",12.0994530352108
"38","g13","HSP90AB1",12.0685870527226
"39","g13","TIMP3",11.9340987414858
"40","g13","DCN",11.9071008251001
"41","g13","EIF4B",11.8020324644127
"42","g13","VEGFA",11.7265564449551
"43","g13","HSP90AA1",11.6396571819036
"44","g13","PTGDS",11.495713628937
"45","g13","NR4A1",11.4862608816595
"46","g13","PPDPF",11.4768545814582
"47","g13","CCNI",11.3884453056075
"48","g13","A2M",11.2163624601649
"49","g13","CIRBP",11.1454033389692
"50","g13","DDX5",11.0718016114135
"51","g13","TXNIP",10.9605530049263
"52","g13","NOP53",10.8558714281141
"53","g13","SPARC",10.8113411682614
"54","g13","CLU",10.6903423225219
"55","g13","CD74",10.6416162996226
"56","g13","SGK1",10.3759023594537
"57","g13","NBL1",10.3551309962676
"58","g13","CKB",10.2970162828179
"59","g13","FKBP5",10.2359063834846
"60","g13","RACK1",10.2298366436889
"61","g13","ADIRF",10.2138854942245
"62","g13","PFN1",9.95900191304124
"63","g13","COL1A2",9.9494878574477
"64","g13","VIM",9.92661698858627
"65","g13","CD81",9.49055220281312
"66","g13","RDH11",9.4541901133385
"67","g13","GLUL",9.30280905621949
"68","g13","FSTL1",9.2518758847404
"69","g13","IGHA1",9.1981266099782
"70","g13","SQSTM1",9.07090577031782
"71","g13","TSC22D3",9.04018004417214
"72","g13","CNN1",9.00873378899098
"73","g13","CEBPD",8.99665654679511
"74","g13","MT1X",8.99142183151368
"75","g13","DDX17",8.82081646876027
"76","g13","GABARAP",8.75004692522745
"77","g13","CD63",8.67525990614511
"78","g13","CAVIN1",8.56718321877556
"79","g13","HNRNPA2B1",8.43544079024145
"80","g13","CCN2",8.39918255494858
"81","g13","ZFAND5",8.38329454839624
"82","g13","HNRNPA3",8.33584834377013
"83","g13","CD99",8.30512774583515
"84","g13","SNRNP70",8.29889593331518
"85","g13","IFITM3",8.16616116777375
"86","g13","FBLN1",8.1537273863071
"87","g13","APP",8.1268652225207
"88","g13","NCAPD3",8.10686799813604
"89","g13","SLC45A3",8.10613062528117
"90","g13","UBB",8.06660602007828
"91","g13","OAZ1",8.03193754249538
"92","g13","HSPA8",7.97620586032461
"93","g13","KLK4",7.97009804236131
"94","g13","MGP",7.88942769719789
"95","g13","CPE",7.88522234608661
"96","g13","CHCHD2",7.73291108537008
"97","g13","MYH9",7.58438016510157
"98","g13","SYNPO2",7.56771276112126
"99","g13","MT2A",7.5194443713021
"100","g13","CRISPLD2",7.51468147452112
"101","g7","MYL9",137.851225918483
"102","g7","ACTA2",97.4836348021272
"103","g7","ACTG2",91.8774545057694
"104","g7","UBC",89.7580207773377
"105","g7","TAGLN",83.1406447670839
"106","g7","ACTB",74.1510449657278
"107","g7","FLNA",69.6801767317754
"108","g7","TPM2",64.7340597199177
"109","g7","TPM1",58.6334971571996
"110","g7","MYLK",49.5045999149532
"111","g7","DES",38.6897613752658
"112","g7","KLK3",38.1015808619392
"113","g7","MSMB",37.9138684153172
"114","g7","TMSB4X",33.1455360606752
"115","g7","EEF2",32.8899349883853
"116","g7","CALD1",30.0096062312556
"117","g7","CNN1",26.6296114308244
"118","g7","SYNPO2",23.9764811533865
"119","g7","RHOB",23.2924977320605
"120","g7","B2M",22.3031053204025
"121","g7","HSPB1",21.7258659530704
"122","g7","ACPP",21.7207006169663
"123","g7","SYNM",21.6634010095737
"124","g7","GSN",20.5584276573322
"125","g7","PABPC1",18.6356144486381
"126","g7","CLU",18.3002656890957
"127","g7","UBA52",17.5111769422438
"128","g7","ITM2B",17.4851255409673
"129","g7","IGFBP7",16.0136025477701
"130","g7","KLK2",15.669346825261
"131","g7","FTH1",15.4427594822123
"132","g7","EEF1G",15.3076671957018
"133","g7","CCNI",14.8879178618242
"134","g7","PFN1",14.524296333387
"135","g7","S100A6",14.3962041382429
"136","g7","TNS1",14.1797329248661
"137","g7","FTL",14.0136543854296
"138","g7","CAVIN1",13.9290225674173
"139","g7","SORBS1",13.677006497214
"140","g7","SPARCL1",12.7673635956915
"141","g7","FBLN1",12.7654774914363
"142","g7","IGFBP5",12.4394522824562
"143","g7","FOS",12.3354227737672
"144","g7","EIF4B",12.2124560755762
"145","g7","MGP",12.2099973886285
"146","g7","SMTN",12.2058995231227
"147","g7","PSAP",12.1945368637786
"148","g7","SERF2",12.0754458889018
"149","g7","COL1A2",11.8439215743102
"150","g7","PTMS",11.843731298585
"151","g7","DDX5",11.8028135336242
"152","g7","SQSTM1",11.6330329708732
"153","g7","CD81",11.5824981724891
"154","g7","PCP4",11.4532233074734
