#source	target	weight (Interactome score)
HIST1H2BA	UBC	930
HIST1H2BA	FOS	948
HIST1H2BA	UBA52	941
ERBB2	HSP90AA1	993
ERBB2	RHOB	945
ERBB2	UBC	929
FOS	JUN	999
FOS	SYK	942
FOS	MAPK8	990
ARHGDIB	RHOB	980
ARHGDIB	JUN	904
COPS5	UBA52	949
COPS5	JUN	994
MYL9	RHOA	986
MYL9	TPM1	967
MMP2	A2M	968
MMP2	HSP90AA1	921
TFRC	UBC	928
TFRC	B2M	988
ACTB	ACTN1	970
ACTB	RAD23A	910
ACTB	ITSN1	919
ACTB	CFL1	999
ACTB	JUN	956
ACTB	CDC5L	981
VCL	FN1	984
VCL	TPM1	969
VCL	B2M	915
VCL	ACTB	945
VCL	RHOA	983
VCL	ACTN1	999
B2M	VAV1	909
MAPK1	HSP90AA1	979
MAPK1	APP	950
TAP1	B2M	969
TAP1	UBA52	914
CLU	ACTN1	936
SRC	ACTN1	956
SRC	UBA52	909
SRC	UBC	951
SRC	RHOA	980
ADAM10	UBA52	900
ADAM10	APP	988
MAPK8	RHOA	993
GAPDH	ACTB	953
GAPDH	APP	966
CST3	B2M	973
JUN	MAPK8	999
JUN	SRC	970
JUN	VEGFA	983
JUN	B2M	925
RHOA	AKT1	987
RHOA	CFL1	988
RHOA	UBC	953
APP	B2M	926
APP	SNCA	985
APP	CST3	956
APP	ACTN2	907
APP	A2M	967
APP	ALB	965
APP	MAPK8	984
APP	CLU	987
STAT3	HSP90AA1	982
STAT3	FOS	988
BCR	FN1	953
FN1	SRC	994
FN1	VEGFA	988
SNCA	UBC	950
IRF1	B2M	944
IRF1	HSP90AA1	938
CD44	RHOA	971
CD44	B2M	946
TP53	UBC	965
TP53	HSP90AA1	990
TP53	JUN	991
HSP90AA1	AKT1	998
HSP90AA1	CDC5L	983
HSP90AA1	SRC	981
HSP90AA1	GNB2L1	974
TPM1	ACTN2	995
TPM1	ACTN1	961
RHOB	SYK	937
RHOB	A2M	905
RHOB	MYL9	948
RHOB	VAV1	967
RHOB	ITSN1	967
RHOB	BCR	926
UBC	RAD23A	998
ARHGDIA	RHOB	991
ARHGDIA	RHOA	999
ALB	B2M	955
ALB	FN1	990
ITSN1	UBA52	904
UBA52	RAD23A	998
UBA52	UBC	996
UBA52	GNB2L1	998
UBA52	RHOA	904
ACTC1	ACTB	984
ACTC1	TPM1	997
TGFB3	FOS	923
TGFB3	A2M	918
TGFB3	FN1	967
TGFB3	ACTN1	906
A2M	ACTN1	913
A2M	RHOA	904
A2M	FN1	957
ACTN1	ACTN2	998
