#gene	origin	count
ERBB2	imputed	5.0
CFL1	imputed	2.0
CCT5	imputed	5.0
TFRC	imputed	5.0
GNB2L1	group1	5.0
NR3C1	imputed	5.0
ACTB	group1	5.0
UBB	group1	5.0
B2M	group1	5.0
CDC5L	imputed	5.0
RAD23B	imputed	2.0
CD3D	imputed	2.0
GNB1	imputed	5.0
MAPK1	imputed	5.0
TAP1	imputed	5.0
SRC	imputed	4.0
HIF1A	imputed	3.0
EGFR	imputed	4.0
ADAM10	imputed	4.0
MAPK8	imputed	5.0
RAD23A	imputed	5.0
GAPDH	imputed	4.0
HSPA8	group1	5.0
CST3	group1	5.0
CTNNB1	group1	1.0
JUN	imputed	5.0
APP	group1	5.0
RHOA	group1	5.0
RUVBL1	imputed	1.0
SNCA	imputed	3.0
IRF1	imputed	5.0
NOTCH1	imputed	4.0
CD44	imputed	2.0
HSP90AA1	group1	5.0
TP53	imputed	5.0
GSK3B	imputed	1.0
KDR	imputed	4.0
UBC	group1	5.0
IGF1R	imputed	1.0
ALB	imputed	4.0
VEGFA	group1	5.0
TGOLN2	imputed	5.0
FYN	imputed	5.0
AR	imputed	5.0
UBA52	group1	5.0
HIF3A	imputed	4.0
PSEN1	imputed	4.0
RPS27A	imputed	2.0
TGFB1	imputed	4.0
AKT1	imputed	5.0
