"Cluster Id","Average Distance (Height)","Bootstrapping Confidence Level","Total Number of Patients","Number in Group 1","Number in Group 2","Group 1 Weight Percentage","Group 2 Weight Percentage","p-value","Group 1 and Group 2 Clustering Coefficient","Group 1 Clustering Coefficient","Group 2 Clustering Coefficient","Group 1 minus Group 2 Clustering Coefficient","Group 2 minus Group 1 Clustering Coefficient","Group 1 Patients","Group 2 Patients",
"  C1","1.000000","N/A"," 19"," 19","  0"," 100.0000%","   0.0000%","1.000000","0.153335","0.067460","0.000000","0.067460","0.000000","g0, g1, g10, g11, g12, g13, g14, g15, g16, g17, g18, g2, g3, g4, g5, g6, g7, g8, g9","<none>",
" C2","0.704242","N/A","14","14"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.087141","0.000000","0.087141","0.000000","g0, g1, g10, g14, g15, g17, g18, g2, g3, g4, g5, g6, g7, g9","<none>",
" C3","0.699209","N/A"," 9"," 9"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.071035","0.000000","0.071035","0.000000","g0, g1, g10, g15, g18, g2, g4, g5, g7","<none>",
" C4","0.627767","N/A"," 8"," 8"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.077840","0.000000","0.077840","0.000000","g0, g10, g15, g18, g2, g4, g5, g7","<none>",
" C5","0.579865","N/A"," 6"," 6"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.069433","0.000000","0.069433","0.000000","g10, g15, g18, g2, g4, g7","<none>",
" C6","0.545844","N/A"," 5"," 5"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.074405","0.000000","0.074405","0.000000","g10, g15, g2, g4, g7","<none>",
" C7","0.516307","N/A"," 4"," 4"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.061609","0.000000","0.061609","0.000000","g10, g15, g4, g7","<none>",
" C8","0.439868","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.066375","0.000000","0.066375","0.000000","g10, g4, g7","<none>",
"C9","0.377696","N/A","2","2","0"," 100.0000%","   0.0000%","1.000000","0.153335","0.059656","0.000000","0.059656","0.000000","g4, g7","<none>",
"C10","0.441833","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.050890","0.000000","0.050890","0.000000","g0, g5","<none>",
"C11","0.631952","N/A"," 5"," 5"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.082056","0.000000","0.082056","0.000000","g14, g17, g3, g6, g9","<none>",
"C12","0.561487","N/A"," 4"," 4"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.072349","0.000000","0.072349","0.000000","g14, g17, g6, g9","<none>",
"C13","0.446958","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.055716","0.000000","0.055716","0.000000","g17, g6, g9","<none>",
"C14","0.409552","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.045249","0.000000","0.045249","0.000000","g6, g9","<none>",
"C15","0.987314","N/A"," 5"," 5"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.046251","0.000000","0.046251","0.000000","g11, g12, g13, g16, g8","<none>",
"C16","0.824830","N/A"," 4"," 4"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.038459","0.000000","0.038459","0.000000","g11, g13, g16, g8","<none>",
"C17","0.755340","N/A"," 3"," 3"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.016453","0.000000","0.016453","0.000000","g13, g16, g8","<none>",
"C18","0.580925","N/A"," 2"," 2"," 0"," 100.0000%","   0.0000%","1.000000","0.153335","0.032914","0.000000","0.032914","0.000000","g16, g8","<none>",
